A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
We,use.01,cookies,to ensure,Affirmative,We use cookies to ensure we give you the best browsing experience on our website . 
We,ensure.01,we give you,,Affirmative,We use cookies to ensure we give you the best browsing experience on our website . 
We,give.01,the best browsing experience on,you,Affirmative,We use cookies to ensure we give you the best browsing experience on our website . 
EU Ministers,exchange.01,views on,,Affirmative,"Meeting on 19 May , EU ministers exchanged views on the preparation of a new framework for the coordination of international aid efforts , discussed the implementation of the Agenda for Change and welcomed the adoption of a rights - based approach to development . "
Affairs Council on Development,discuss.01,efforts for,,Affirmative,The Foreign Affairs Council on Development discussed a new framework for the international community 's efforts for the period after 2015 . 
EU Ministers,take.01,stock of,,Affirmative,EU Ministers took stock of the ongoing work at UN level and discussed the EU 's role in the process of setting global goals that include poverty eradication and the promotion of sustainable development . 
EU Ministers,discuss.01,role in,,Affirmative,EU Ministers took stock of the ongoing work at UN level and discussed the EU 's role in the process of setting global goals that include poverty eradication and the promotion of sustainable development . 
The framework is to be,discussed at.01,the June European Council,,Affirmative,The framework is to be discussed at the June European Council . 
by,brief.01,the June European Council,on,Affirmative,"The Council was briefed by the Commission on the implementation of the EU 's development policy , adopted in 2012 by the Council . "
by,adopt.01,"development policy , adopted in 2012",,Affirmative,"The Council was briefed by the Commission on the implementation of the EU 's development policy , adopted in 2012 by the Council . "
the June European Council,aim.01,to increase,,Affirmative,"It aims to increase the impact of EU development aid , have a greater focus on social objectives , climate change issues and be concentrated on least developed countries . "
the June European Council,increase.01,the impact of,,Affirmative,"It aims to increase the impact of EU development aid , have a greater focus on social objectives , climate change issues and be concentrated on least developed countries . "
EU Ministers,welcome.01,the adoption of,,Affirmative,EU ministers welcomed the adoption of a tool box that should ensure human rights are taken into consideration when deciding on a cooperation project . 
a tool box,ensure.01,rights are taken into consideration,,Affirmative,EU ministers welcomed the adoption of a tool box that should ensure human rights are taken into consideration when deciding on a cooperation project . 
the June European Council,confirm.01,they will fully resume,,Affirmative,The Council confirmed they will fully resume development cooperation with Madagascar and return to a normalisdation of relations with the newly appointed government . 
EU Ministers,resume.01,development cooperation with,to,Affirmative,The Council confirmed they will fully resume development cooperation with Madagascar and return to a normalisdation of relations with the newly appointed government . 
we,send.01,any replies,,Affirmative,Please note that we do not send any replies via this survey . 
you,have.03,questions,,Affirmative,If you have questions use our enquiry form . 
