A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
company PT Pertamina,say.01,it has sent,,Affirmative,"State - owned oil and gas company PT Pertamina says it has sent its third letter to the Energy and Mineral Resources Ministry emphasizing its readiness to manage the Mahakam block in East Kalimantan , which is due to be vacated by Total EP Indonesie , the local unit of the French oil company . "
gas company PT Pertamina,send.02,its third letter to,,Affirmative,"State - owned oil and gas company PT Pertamina says it has sent its third letter to the Energy and Mineral Resources Ministry emphasizing its readiness to manage the Mahakam block in East Kalimantan , which is due to be vacated by Total EP Indonesie , the local unit of the French oil company . "
its third letter to,emphasize.01,its readiness,,Affirmative,"State - owned oil and gas company PT Pertamina says it has sent its third letter to the Energy and Mineral Resources Ministry emphasizing its readiness to manage the Mahakam block in East Kalimantan , which is due to be vacated by Total EP Indonesie , the local unit of the French oil company . "
We,manage.01,the Mahakam block 's,,Affirmative,"We are 100 percent ready to manage the block and we have sent an official letter to the ministry three times , the firm 's upstream oil and gas director , Muhammad Husein , said as quoted by kompas.com on Monday . "
We,send.01,an official letter,to,Affirmative,"We are 100 percent ready to manage the block and we have sent an official letter to the ministry three times , the firm 's upstream oil and gas director , Muhammad Husein , said as quoted by kompas.com on Monday . "
"director ,",say.01,We are,,Affirmative,"We are 100 percent ready to manage the block and we have sent an official letter to the ministry three times , the firm 's upstream oil and gas director , Muhammad Husein , said as quoted by kompas.com on Monday . "
gas company PT Pertamina,say.01,it was disappointed by,,Affirmative,"Pertamina said it was disappointed by the ministry , which has not yet made a decision regarding the Mahakam block 's contract that is set to expire in 2017 . "
by,disappoint.01,gas company PT Pertamina,,Affirmative,"Pertamina said it was disappointed by the ministry , which has not yet made a decision regarding the Mahakam block 's contract that is set to expire in 2017 . "
Muhammad Husein,say.01,company would send,,Affirmative,Husein said the company would send a fourth letter to the government if there was no response in the coming few months . 
the French oil company,send.03,a fourth letter,to,Affirmative,Husein said the company would send a fourth letter to the government if there was no response in the coming few months . 
Muhammad Husein,add.01,made,,Affirmative,He added that Pertamina 's experience in taking over the West Madura Offshore ( WMO ) and Offshore Northwest Java ( ONJ ) blocks from foreign contractors made it ideally qualified to handle the Mahakam block . 
experience in taking over,make.02,it ideally qualified,,Affirmative,He added that Pertamina 's experience in taking over the West Madura Offshore ( WMO ) and Offshore Northwest Java ( ONJ ) blocks from foreign contractors made it ideally qualified to handle the Mahakam block . 
Pertamina 's experience in taking over the West Madura Offshore -LRB- WMO -RRB- and Offshore Northwest Java -LRB- ONJ -RRB- blocks from foreign contractors,handle.01,the Mahakam block 's,,Affirmative,He added that Pertamina 's experience in taking over the West Madura Offshore ( WMO ) and Offshore Northwest Java ( ONJ ) blocks from foreign contractors made it ideally qualified to handle the Mahakam block . 
