A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
the first Emirati students,win.01,a major honour,,Affirmative,"Meet Shamma Al Bastaki and Hayat Al Hassan , the first Emirati students to win a major honour at the world 's largest science fair . "
The duo,discover.01,a new way,,Affirmative,The duo discovered a new way to save water by more than 50 per cent using hydrophobic sand for agriculture . 
50 per cent,use.01,hydrophobic sand for agriculture,,Affirmative,The duo discovered a new way to save water by more than 50 per cent using hydrophobic sand for agriculture . 
Shamma and Hayat,earn.01,global recognition and,them,Affirmative,"Shamma and Hayat were placed second worldwide in the environmental sciences category , earning them global recognition and a cash prize of $ 1,500 at this year 's Intel International Science and Engineering Fair ( Intel Isef ) hosted in Los Angeles . "
Our generation,have.03,the potential,,Affirmative,"Our generation has the potential to create an amazing future and I want to be part of this future which will be created by us , Shamma told Khaleej Times . "
Shamma,want.01,to be part of,,Affirmative,"Our generation has the potential to create an amazing future and I want to be part of this future which will be created by us , Shamma told Khaleej Times . "
by us,create.01,this future,,Affirmative,"Our generation has the potential to create an amazing future and I want to be part of this future which will be created by us , Shamma told Khaleej Times . "
Intel Isef,honour.01,"promising student entrepreneurs , innovators and scientists",,Affirmative,"With more than 1,700 finalists from 70 countries participating , Intel Isef honours the world 's most promising student entrepreneurs , innovators and scientists . "
by,evaluate.01,affiliated fairs and,,Affirmative,"The finalists are selected annually from hundreds of affiliated fairs and their projects evaluated by more than 1,200 judges from nearly every scientific discipline . "
The Society for Science &,administer.01,the competition,,Affirmative,"The Society for Science & the Public , a nonprofit membership organisation dedicated to public engagement in scientific research and education , has owned and administered the competition since its inception in 1950 as the National Science Fair . "
by,send.01,A group of,to,Affirmative,A group of 16 students from the UAE were sent to Intel Isef this year by the Emirates Foundation . 
by,select.01,"more than 1,700 finalists from 70 countries participating",,Affirmative,They were selected by a scientific committee which evaluated projects presented at the Emirates Foundation Think Science Competition in April . 
a scientific committee,evaluate.01,projects presented at,,Affirmative,They were selected by a scientific committee which evaluated projects presented at the Emirates Foundation Think Science Competition in April . 
Nathan Han,use.01,data from,,Affirmative,"Using data from publicly available databases , Nathan examined detailed characteristics of multiple mutations of a BRCA1 tumor suppressor gene in order to teach his software to differentiate between mutations that cause disease and those that do not . "
Nathan Han,examine.01,detailed characteristics of,,Affirmative,"Using data from publicly available databases , Nathan examined detailed characteristics of multiple mutations of a BRCA1 tumor suppressor gene in order to teach his software to differentiate between mutations that cause disease and those that do not . "
mutations,cause.01,disease,,Affirmative,"Using data from publicly available databases , Nathan examined detailed characteristics of multiple mutations of a BRCA1 tumor suppressor gene in order to teach his software to differentiate between mutations that cause disease and those that do not . "
a machine learning software tool,exhibit.01,cent accuracy rate,,Affirmative,His tool exhibits an 81 per cent accuracy rate and could be used to more accurately identify cancer threats from BRCA1 gene mutations . 
Nathan Han,receive.01,Moore Award of,,Affirmative,"Nathan received the Gordon E. Moore Award of $ 75,000 , named in honour of the Intel co-founder and fellow scientist . "
15,bring.01,capabilities,,Affirmative,It brings capabilities to handheld devices that previously required more sophisticated and expensive computing tools . 
devices,require.01,computing tools,,Affirmative,It brings capabilities to handheld devices that previously required more sophisticated and expensive computing tools . 
His app,allow.01,"users to draw curves , lines and",,Affirmative,"His app allows users to draw curves , lines and geometric figures on the touch screen and watch the system render them into shapes and equations that can then be manipulated at will . "
users,draw.02,"curves , lines and",,Affirmative,"His app allows users to draw curves , lines and geometric figures on the touch screen and watch the system render them into shapes and equations that can then be manipulated at will . "
users,watch.01,system render them into shapes and equations,,Affirmative,"His app allows users to draw curves , lines and geometric figures on the touch screen and watch the system render them into shapes and equations that can then be manipulated at will . "
the system,render.01,users,into shapes and equations,Affirmative,"His app allows users to draw curves , lines and geometric figures on the touch screen and watch the system render them into shapes and equations that can then be manipulated at will . "
Lennart Kleinwort,receive.01,one of,,Affirmative,"He received one of the two Intel Foundation Young Scientist Awards of $ 50,000 . "
