A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
prospective donors and charities,raise.01,funds for,,Affirmative,"While prospective donors and charities meet to try and raise funds for South Sudan 's humanitarian crisis , civil war rages on writes Peter Fabricius . "
donor countries and,try.01,to find,,Affirmative,"Johannesburg - No doubt with a rather depressing sense of déjà vu , donor countries and charitable organisations will gather in Oslo on Monda and Tuesday to try to find the money to respond to the huge and growing humanitarian crisis triggered by the civil war in South Sudan . "
donor countries and,find.01,the money,,Affirmative,"Johannesburg - No doubt with a rather depressing sense of déjà vu , donor countries and charitable organisations will gather in Oslo on Monda and Tuesday to try to find the money to respond to the huge and growing humanitarian crisis triggered by the civil war in South Sudan . "
by,trigger.01,humanitarian crisis triggered by,,Affirmative,"Johannesburg - No doubt with a rather depressing sense of déjà vu , donor countries and charitable organisations will gather in Oslo on Monda and Tuesday to try to find the money to respond to the huge and growing humanitarian crisis triggered by the civil war in South Sudan . "
the civil war in South Sudan,estimate.01,people will require,,Affirmative,"It estimates that by the end of the year , 7.3 million people will require some humanitarian help , about 4 million face alarming food insecurity , up to 1.5 million will become internally displaced , and 863 000 will seek refuge in neighbouring countries - while 270 000 refugees from Sudan remain in South Sudan . "
million people,require.01,"some humanitarian help ,",,Affirmative,"It estimates that by the end of the year , 7.3 million people will require some humanitarian help , about 4 million face alarming food insecurity , up to 1.5 million will become internally displaced , and 863 000 will seek refuge in neighbouring countries - while 270 000 refugees from Sudan remain in South Sudan . "
863 000,seek.01,refuge in,,Affirmative,"It estimates that by the end of the year , 7.3 million people will require some humanitarian help , about 4 million face alarming food insecurity , up to 1.5 million will become internally displaced , and 863 000 will seek refuge in neighbouring countries - while 270 000 refugees from Sudan remain in South Sudan . "
President Salva Kiir and,impose.01,a staggering burden,by,Affirmative,It is a staggering burden which South Sudanese President Salva Kiir and his former vice-president Riek Machar have imposed by their power struggle which evolved into a war between Kiir 's Dinka and Machar 's Nuer people . 
prospective donors and charities,need.01,to have confidence,,Affirmative,The donors will need to have confidence that the cessation of hostilities which Kiir and Machar signed will hold if they are to deliver on their pledges . 
prospective donors and charities,have.03,confidence,,Affirmative,The donors will need to have confidence that the cessation of hostilities which Kiir and Machar signed will hold if they are to deliver on their pledges . 
