A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
government on Monday,assure.01,the Supreme Court,measures have been put in place,Affirmative,The Centre and Uttarakhand government on Monday assured the Supreme Court that all measures have been put in place to prevent a repeat of the scale and extent of the damages caused by excessive rain and flash flood in the state last year . 
by,cause.01,the damages caused by,,Affirmative,The Centre and Uttarakhand government on Monday assured the Supreme Court that all measures have been put in place to prevent a repeat of the scale and extent of the damages caused by excessive rain and flash flood in the state last year . 
the two governments,submit.01,arrangements have been made for,,Affirmative,"Appearing before a bench of justice BS Chauhan and AK Sikri , the two governments submitted that all arrangements have been made for this year 's ongoing chardham yatra and they are closely monitoring to control any incident in the state . "
they,control.01,any incident in,,Affirmative,"Appearing before a bench of justice BS Chauhan and AK Sikri , the two governments submitted that all arrangements have been made for this year 's ongoing chardham yatra and they are closely monitoring to control any incident in the state . "
a bench of justice BS Chauhan and AK Sikri,turn.05,the plea of,,Affirmative,The bench then turned down the plea of a petitioner seeking its direction to immediately stay the yatra and asked him to approach the High Court . 
a petitioner seeking,seek.01,its direction,,Affirmative,The bench then turned down the plea of a petitioner seeking its direction to immediately stay the yatra and asked him to approach the High Court . 
a petitioner seeking,ask.02,to approach,him,Affirmative,The bench then turned down the plea of a petitioner seeking its direction to immediately stay the yatra and asked him to approach the High Court . 
advocate Colin Gonsalves,contend.01,the situation in,,Affirmative,"Senior advocate Colin Gonsalves , appearing for the petitioner , contended the situation in the state is very precarious and more casualty is likely to take place in case of excessive rain and flash flood in the state . "
Solicitor General Mohan Parasaran,refute.01,the contention saying,,Affirmative,"Solicitor General Mohan Parasaran , however , refuted the contention saying all measures have already been taken to prevent a repeat of the extent of the damages caused by such incidents last year . "
the contention saying,say.01,measures have already been taken,,Affirmative,"Solicitor General Mohan Parasaran , however , refuted the contention saying all measures have already been taken to prevent a repeat of the extent of the damages caused by such incidents last year . "
all measures,prevent.01,a repeat of,,Affirmative,"Solicitor General Mohan Parasaran , however , refuted the contention saying all measures have already been taken to prevent a repeat of the extent of the damages caused by such incidents last year . "
by,cause.01,the damages caused by,,Affirmative,"Solicitor General Mohan Parasaran , however , refuted the contention saying all measures have already been taken to prevent a repeat of the extent of the damages caused by such incidents last year . "
