A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
The Wisconsin DOT,bid.02,the first phase of,,Affirmative,The DOT is preparing to bid the first phase of the Zoo Interchange core 's reconstruction . 
the lawsuit challenging,challenge.01,Interchangeâ€™s reconstruction,,Affirmative,The Wisconsin Department of Transportation will spend a combined $ 13.5 million in its deal to settle the lawsuit challenging the Zoo Interchangeâ€™s reconstruction . 
the money,pay.01,area bus routes,,Affirmative,"The specific Milwaukee - area bus routes that the money will pay for still must be developed , according to a DOT announcement . "
people,ride.01,The specific Milwaukee-area bus routes that the money will pay for still,,Affirmative,"The settlement includes $ 11.5 million to finance routes for four years , and $ 2 million to create real - time transit route information and encourage people to ride the bus routes . "
Milwaukee County,get.01,"$ 2,875,000",,Affirmative,"Milwaukee County is earmarked to get $ 2,875,000 , according to a Milwaukee County report . "
Those organizations,sue.01,the state,,Affirmative,Those organizations sued the state in August 2012 to challenge the $ 1.7 billion Zoo Interchange reconstruction plan because it does not include any improvements to public transit . 
Those organizations,challenge.01,Interchange reconstruction plan,,Affirmative,Those organizations sued the state in August 2012 to challenge the $ 1.7 billion Zoo Interchange reconstruction plan because it does not include any improvements to public transit . 
the state,start.01,reconstruction of streets surrounding,,Affirmative,"The state last year started reconstruction of streets surrounding the Zoo Interchange , and this fall will begin major reconstruction of the Interchangeâ€™s core ramps . "
this fall,begin.01,major reconstruction of,,Affirmative,"The state last year started reconstruction of streets surrounding the Zoo Interchange , and this fall will begin major reconstruction of the Interchangeâ€™s core ramps . "
Reporter Sean Ryan,cover.03,real estate for,,Affirmative,Reporter Sean Ryan covers commercial and residential real estate for the Milwaukee Business Journal and through the Real Estate Roundup blog on the website . 
Reporter Sean Ryan,cover.01,"construction , highways and",,Affirmative,"He also covers construction , highways and public transit . "
you,comment.01,using,,Affirmative,"If you are commenting using a Facebook account , your profile information may be displayed with your comment depending on your privacy settings . "
you,use.01,a Facebook account,,Affirmative,"If you are commenting using a Facebook account , your profile information may be displayed with your comment depending on your privacy settings . "
your comment depending on,depend.01,on,,Affirmative,"If you are commenting using a Facebook account , your profile information may be displayed with your comment depending on your privacy settings . "
