A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
the company,consult.01,with,,Affirmative,"Metgasco 's licence to drill a test well at the Rosella drill site at Bentley was suspended due to concerns the company had not adequately consulted with the community , NSW Resources and Energy Minister , Anthony Roberts said . "
Mr Roberts,say.01,had advised him,,Affirmative,Mr Roberts said the Office of Coal Seam Gas ( OCSG ) had advised him the community had expressed fundamental concerns about the way in which Metgasco had characterised its activities . 
the Office of,advise.01,OCSG,community had expressed,Affirmative,Mr Roberts said the Office of Coal Seam Gas ( OCSG ) had advised him the community had expressed fundamental concerns about the way in which Metgasco had characterised its activities . 
the community,express.01,fundamental concerns about,,Affirmative,Mr Roberts said the Office of Coal Seam Gas ( OCSG ) had advised him the community had expressed fundamental concerns about the way in which Metgasco had characterised its activities . 
Metgasco 's,characterise.01,its activities,,Affirmative,Mr Roberts said the Office of Coal Seam Gas ( OCSG ) had advised him the community had expressed fundamental concerns about the way in which Metgasco had characterised its activities . 
Mr Roberts,say.01,"he had received information regarding shareholdings and interests in Metgasco ,",,Affirmative,"In a separate matter , Mr Roberts said he had received information regarding shareholdings and interests in Metgasco , which had prompted him to write to the Commissioner of ICAC , the State 's corruption watchdog . "
Mr Roberts,receive.01,"information regarding shareholdings and interests in Metgasco ,",,Affirmative,"In a separate matter , Mr Roberts said he had received information regarding shareholdings and interests in Metgasco , which had prompted him to write to the Commissioner of ICAC , the State 's corruption watchdog . "
"Metgasco ,",prompt.02,Mr Roberts,to write to,Affirmative,"In a separate matter , Mr Roberts said he had received information regarding shareholdings and interests in Metgasco , which had prompted him to write to the Commissioner of ICAC , the State 's corruption watchdog . "
by,welcome.01,The suspension,,Affirmative,The suspension was welcomed by Greens MLC Jeremy Buckingham . 
This,show.01,is,,Affirmative,"This is a fantastic win for the community and shows that the need for a social licence is both real and necessary , Mr Buckingham said . "
Mr Buckingham,say.01,This is,,Affirmative,"This is a fantastic win for the community and shows that the need for a social licence is both real and necessary , Mr Buckingham said . "
2000 protesters,protest.01,activities,,Affirmative,As many as 2000 protesters had assembled at the Bentley site to protest Metgasco 's activities . 
800 police,break.01,the blockade,,Affirmative,"Speculation was rife that up to 800 police were to be sent to break the blockade early next week - but those plans will likely change , following the government 's actions which will no doubt be met with approval by the protestors . "
those plans,follow.01,actions,,Affirmative,"Speculation was rife that up to 800 police were to be sent to break the blockade early next week - but those plans will likely change , following the government 's actions which will no doubt be met with approval by the protestors . "
NSW,hope.01,Seeney reads this,,Affirmative,"I hope Qld Infrastructure Minister Jeff Seeney reads this , we are sick of getting walked on up here from CSG , RAIL , POWERLINES , & WATER infrastructure without proper annual compensation for the life of these projects . "
Minister Jeff Seeney,read.01,this,,Affirmative,"I hope Qld Infrastructure Minister Jeff Seeney reads this , we are sick of getting walked on up here from CSG , RAIL , POWERLINES , & WATER infrastructure without proper annual compensation for the life of these projects . "
a social licence,need.01,to be cancelled now,,Affirmative,The licence needs to be cancelled now . 
Metgasco 's,respect.01,the population of,,Affirmative,Metgasco Respect the population of Northern Rivers and accept defeat . 
Metgasco 's,accept.01,defeat,,Affirmative,Metgasco Respect the population of Northern Rivers and accept defeat . 
everybody in the North West of Ireland,prove.01,we still live in,,Affirmative,That 's great news and proves we still live in some sort of democracy . 
you,trust.02,those greedy sods,,Affirmative,Hope it lasts but you ca n't trust those greedy sods . 
No one,like.02,to talk about,,Affirmative,No one likes to talk about climate change but it is with us now and we have to act against more carbon dioxide and methane being dug for export to China . 
No one,talk.01,about,,Affirmative,No one likes to talk about climate change but it is with us now and we have to act against more carbon dioxide and methane being dug for export to China . 
we,act.02,against,,Affirmative,No one likes to talk about climate change but it is with us now and we have to act against more carbon dioxide and methane being dug for export to China . 
by Australia and people like,own.01,New mines,,Affirmative,"New mines are not for or owned by Australia and people like the ex PM , Malcolm Fraser are saying we 'll end up at war with China soon . "
Malcolm Fraser,say.01,we 'll end up at war with China,,Affirmative,"New mines are not for or owned by Australia and people like the ex PM , Malcolm Fraser are saying we 'll end up at war with China soon . "
NSW,work.01,day fortnight,,Affirmative,I work a nine day fortnight as an office worker and spend the weekends helping my partner run our macadamia farm . 
NSW,spend.02,the weekends,helping,Affirmative,I work a nine day fortnight as an office worker and spend the weekends helping my partner run our macadamia farm . 
NSW,help.01,partner run,,Affirmative,I work a nine day fortnight as an office worker and spend the weekends helping my partner run our macadamia farm . 
my partner,run.01,our macadamia farm,,Affirmative,I work a nine day fortnight as an office worker and spend the weekends helping my partner run our macadamia farm . 
we,do.02,our volunteer shifts (,,Affirmative,"For the last three months we have been driving out to Bentley to do our volunteer shifts ( road vigil , traffic control , info desk ) . "
we,meet.01,the vast majority are employed,,Affirmative,"We have met many locals , the vast majority are employed or small business owners . "
"7,000",blockade.01,against police,,Affirmative,"That was our strength and yes , 7,000 were preparing to blockade against police . "
NSW,book.01,leave,,Affirmative,I had booked leave . 
