A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Canada,condemn.01,the attacks carried out in Tripoli,,Affirmative,Canada strongly condemns the attacks carried out in Tripoli this weekend . 
We,call.01,to refrain from violence,,Affirmative,We call on all parties to refrain from violence and to work together to de-escalate the situation and engage in a peaceful democratic process . 
We,continue.01,to support,,Affirmative,We continue to support a peaceful political transition and encourage efforts to hold a national dialogue . 
We,support.01,a peaceful political transition,,Affirmative,We continue to support a peaceful political transition and encourage efforts to hold a national dialogue . 
We,encourage.02,efforts,,Affirmative,We continue to support a peaceful political transition and encourage efforts to hold a national dialogue . 
drafting process,provide.01,an opportunity,,Affirmative,The ongoing constitutional drafting process provides an opportunity for Libyans to peacefully address all problems . 
Libyans,address.02,all problems,,Affirmative,The ongoing constitutional drafting process provides an opportunity for Libyans to peacefully address all problems . 
