A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
stories,inspire.01,community engagement and,,Affirmative,"Welcome to Rappler , a social news network where stories inspire community engagement and digitally fuelled actions for social change . "
construction of,prove.01,the need for,,Affirmative,"MANILA , Philippines - China 's construction of a suspected airstrip in the West Philippine Sea ( South China Sea ) proves the need for the ASEAN Code of Conduct , according to President Benigno Aquino III . "
the Department of,release.01,photos showing,,Affirmative,"Just days after the Department of Foreign Affairs ( DFA ) released photos showing the construction on Mabini Reef in the Spratlys , Aquino emphasized the need for something more concrete to guide actions in the region . "
photos showing,show.01,the construction on,,Affirmative,"Just days after the Department of Foreign Affairs ( DFA ) released photos showing the construction on Mabini Reef in the Spratlys , Aquino emphasized the need for something more concrete to guide actions in the region . "
President Benigno Aquino III,emphasize.01,the need for something,,Affirmative,"Just days after the Department of Foreign Affairs ( DFA ) released photos showing the construction on Mabini Reef in the Spratlys , Aquino emphasized the need for something more concrete to guide actions in the region . "
President Benigno Aquino III,say.01,has,,Affirmative,"He said that at present ASEAN has a Declaration on the Conduct of Parties in the South China Sea ( DOC ) with China , but that it is not enough . "
President Benigno Aquino III,tell.01,these are seemingly in violation with,reporters,Affirmative,"In my view , what happened in Mischief Reef back in the day , what is being done now , all these are seemingly in violation with the agreed upon Declaration of Conduct , Aquino told reporters on Monday , May 19 . "
reporters,need.01,a Code of Conduct,,Affirmative,"For it to become operational and enforceable , we need a Code of Conduct . "
Secretary Albert del Rosario,say.01,that he simply wanted,,Affirmative,Philippine Foreign Secretary Albert del Rosario said then that he simply wanted the statement to include his discussion on Scarborough Shoal . 
Philippine Foreign Secretary Albert del Rosario,want.01,statement to include,,Affirmative,Philippine Foreign Secretary Albert del Rosario said then that he simply wanted the statement to include his discussion on Scarborough Shoal . 
MANILA,accuse.01,Beijing,of installing blocks on,Affirmative,"At the time , Manila was accusing Beijing of installing blocks on the shoal . "
Beijing,instal.01,blocks,on,Affirmative,"At the time , Manila was accusing Beijing of installing blocks on the shoal . "
the Philippines against China,insist.01,on,,Affirmative,A lot have happened since then as both the Philippines and China insisted on their stand as far as the West Philippine Sea was concerned . 
by,lodge.03,the protest lodged by,against China,Affirmative,"The latest was the protest lodged by the Philippines against China for the reclamation on Mabini Reef , which the Chinese snubbed . "
He,say.01,was clearly breached,,Affirmative,"He said this provision , which disallows any new facilities until territorial disputes are resolved , was clearly breached . "
"this provision ,",disallow.01,any new facilities,,Affirmative,"He said this provision , which disallows any new facilities until territorial disputes are resolved , was clearly breached . "
