A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
us,receive.01,your submission,,Affirmative,We 've received your submission . 
A group of,rake.01,hefty pensions,,Affirmative,A group of retired NYPD detectives is raking in hefty pensions while also grabbing second taxpayer - funded salaries thanks to a loophole in double - dipping laws . 
taxpayer,fund.01,funded salaries,,Affirmative,A group of retired NYPD detectives is raking in hefty pensions while also grabbing second taxpayer - funded salaries thanks to a loophole in double - dipping laws . 
lawmakers,want.01,people double - dipping,,Affirmative,"And the reason is that lawmakers , at one time , did n't want certain people double - dipping , said Blair Horner of the New York Public Interest Research Group . "
Blair Horner of,say.01,reason is,,Affirmative,"And the reason is that lawmakers , at one time , did n't want certain people double - dipping , said Blair Horner of the New York Public Interest Research Group . "
retirees younger than 65,need.01,a special waiver,,Affirmative,"Ordinarily , retirees younger than 65 who are collecting pensions from agencies such as the NYPD need a special waiver to be hired by another municipality or public entity in New York and earn a second $ 30,000 - plus annual salary . "
by,hire.01,a special waiver,,Affirmative,"Ordinarily , retirees younger than 65 who are collecting pensions from agencies such as the NYPD need a special waiver to be hired by another municipality or public entity in New York and earn a second $ 30,000 - plus annual salary . "
retirees younger than 65,earn.01,annual salary,,Affirmative,"Ordinarily , retirees younger than 65 who are collecting pensions from agencies such as the NYPD need a special waiver to be hired by another municipality or public entity in New York and earn a second $ 30,000 - plus annual salary . "
commission,approve.01,a public employee,,Affirmative,"The [ state civil - service ] commission has to approve a public employee who is receiving a [ public ] pension and working in a second public job , said commission spokesman Ed Walsh , adding that agency grants the waivers on a limited basis . "
a public employee,receive.01,a [ public ] pension,,Affirmative,"The [ state civil - service ] commission has to approve a public employee who is receiving a [ public ] pension and working in a second public job , said commission spokesman Ed Walsh , adding that agency grants the waivers on a limited basis . "
spokesman Ed Walsh,say.01,commission has,,Affirmative,"The [ state civil - service ] commission has to approve a public employee who is receiving a [ public ] pension and working in a second public job , said commission spokesman Ed Walsh , adding that agency grants the waivers on a limited basis . "
spokesman Ed Walsh,add.01,that agency grants,,Affirmative,"The [ state civil - service ] commission has to approve a public employee who is receiving a [ public ] pension and working in a second public job , said commission spokesman Ed Walsh , adding that agency grants the waivers on a limited basis . "
agency,grant.01,the waivers,on,Affirmative,"The [ state civil - service ] commission has to approve a public employee who is receiving a [ public ] pension and working in a second public job , said commission spokesman Ed Walsh , adding that agency grants the waivers on a limited basis . "
private security firms,act.01,as,,Affirmative,But the ex-NYPD detectives do n't have to go through the process - and risk getting turned down - because they are legally paid as independent contractors by private security firms that essentially act as employment agencies . 
the posts earning,earn.01,an additional $ 200,,Affirmative,"Nine former cops - who would likely be garnering an annual police pension of at least $ 50,000 - are currently in the posts earning an additional $ 200 a day . "
The investigators,help.01,trim fraud from,,Affirmative,The investigators are hired to help trim fraud from New York 's $ 54 billion Medicaid budget . 
The investigators,trim.02,fraud,from,Affirmative,The investigators are hired to help trim fraud from New York 's $ 54 billion Medicaid budget . 
The investigators,have.03,a minimum of,,Affirmative,"They are required to have a minimum of six to 10 years of investigative experience and must be fluent in Spanish , Russian , Chinese , Korean , Arabic or Pakistani or Indian dialects , as well as English . "
Three companies,award.01,the contracts in August,,Affirmative,"Three companies awarded the contracts in August were Trooper Tech , MSA Investigations and Summit Security Services . "
"Wanda Fischer ,",defend.01,the arrangement,,Affirmative,"Wanda Fischer , a spokeswoman for the Inspector General 's Office , defended the arrangement . "
by,certify.01,a contract,,Affirmative,"The investigator positions are filled under a contract that was fully vetted , competitively bid and certified by the comptroller and attorney general 's offices , she said in a statement . "
Wanda Fischer,say.01,positions are filled under,,Affirmative,"The investigator positions are filled under a contract that was fully vetted , competitively bid and certified by the comptroller and attorney general 's offices , she said in a statement . "
Officials at,award.01,"3,536,738 contract",,Affirmative,"Officials at MSA Investigations - awarded a $ 3,536,738 contract - and Trooper Tech - which landed $ 2,629,935 - did not return calls for comment . "
Trooper Tech -,land.02,"$ 2,629,935",,Affirmative,"Officials at MSA Investigations - awarded a $ 3,536,738 contract - and Trooper Tech - which landed $ 2,629,935 - did not return calls for comment . "
The Yankees,lead.01,the Angels 6-5,,Affirmative,"The Yankees are leading the Angels 6-5 in the ninth , but Mariano Rivera blows the save . "
Mariano Rivera,blow.10,the save,,Affirmative,"The Yankees are leading the Angels 6-5 in the ninth , but Mariano Rivera blows the save . "
"Jeter ,",hit.02,off single,,Affirmative,"Leave it to Jeter , who hits a walk - off single in the ninth inning for a 7-6 Yankees win . "
your blog,share.01,the posts earning an additional $ 200 a day,,Affirmative,"Sorry , your blog can not share posts by email . "
you,confirm.01,that you accept,,Affirmative,"{ * # socialRegistrationForm * } { * socialRegistration_emailAddress * } { * socialRegistration_displayName * } { * socialRegistration_ageVerification * } By clicking Create Account , you confirm that you accept our terms of service and have read and understand privacy policy . "
you,accept.01,our terms of service,,Affirmative,"{ * # socialRegistrationForm * } { * socialRegistration_emailAddress * } { * socialRegistration_displayName * } { * socialRegistration_ageVerification * } By clicking Create Account , you confirm that you accept our terms of service and have read and understand privacy policy . "
you,understand.01,privacy policy,,Affirmative,"{ * # socialRegistrationForm * } { * socialRegistration_emailAddress * } { * socialRegistration_displayName * } { * socialRegistration_ageVerification * } By clicking Create Account , you confirm that you accept our terms of service and have read and understand privacy policy . "
our,send.01,a link,you,Affirmative,We 'll send you a link to create a new password . 
a link,create.01,a new password,,Affirmative,We 'll send you a link to create a new password . 
our,send.01,an email,with instructions,Affirmative,We 've sent an email with instructions to create a new password . 
