A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
officials,say.01,bodies were found inside,,Affirmative,"- Seven bodies were found inside an SUV abandoned in Tampico , a port city in the northeastern Mexican state of Tamaulipas , officials said Monday . "
"the Tamaulipas Coordination Group , or GCT",say.01,- have not been identified,,Affirmative,"The victims - four men and three women - have not been identified , the Tamaulipas Coordination Group , or GCT , said in a statement . "
"the GCT ,",say.01,killings are related to conflicts involving,,Affirmative,"The killings are related to conflicts involving the presumed criminal groups operating in the zone , the GCT , a joint federal and state agency , said . "
The federal government,say.01,it was deploying,,Affirmative,The federal government said last week it was deploying more security forces units in Tamaulipas and planned to purge the state 's law enforcement agencies in an effort to stop a spike in drug - related violence . 
The federal government,deploy.01,forces units in Tamaulipas,,Affirmative,The federal government said last week it was deploying more security forces units in Tamaulipas and planned to purge the state 's law enforcement agencies in an effort to stop a spike in drug - related violence . 
The federal government,plan.01,to purge,,Affirmative,The federal government said last week it was deploying more security forces units in Tamaulipas and planned to purge the state 's law enforcement agencies in an effort to stop a spike in drug - related violence . 
Secretary Miguel Angel Osorio Chong,announce.01,the expanded deployment,,Affirmative,"Government Secretary Miguel Angel Osorio Chong announced the expanded deployment last Tuesday in the border city of Reynosa , unveiling a new phase of the federal security strategy for Tamaulipas aimed at restoring to residents the peace and safety they deserve . "
Secretary Miguel Angel Osorio Chong,unveil.01,a new phase of,,Affirmative,"Government Secretary Miguel Angel Osorio Chong announced the expanded deployment last Tuesday in the border city of Reynosa , unveiling a new phase of the federal security strategy for Tamaulipas aimed at restoring to residents the peace and safety they deserve . "
residents,deserve.01,the peace and safety,,Affirmative,"Government Secretary Miguel Angel Osorio Chong announced the expanded deployment last Tuesday in the border city of Reynosa , unveiling a new phase of the federal security strategy for Tamaulipas aimed at restoring to residents the peace and safety they deserve . "
Government Secretary Miguel Angel Osorio Chong,say.01,"Patrols will be stepped up at ports , airports ,",,Affirmative,"Patrols will be stepped up at ports , airports , customs posts , border crossings and highways , with inspections of prisons and nightspots where criminal activities occur being expanded , Osorio Chong said . "
