A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Chloe Johnson,stray.01,into,,Affirmative,Chloe Johnson died after straying into a wave pool at the Coral Sea Waterworld Hotel in the Egyptian resort of Sharm el Sheikh on May 17 last year . 
The family of a Forest Hill five-year-old who drowned in an Egyptian hotel pool,say.01,there were,,Affirmative,"The family say there were no lifeguards at the pool and they were left to their own devices , with dad Tony having to perform CPR in a failed attempt to save his daughter . "
dad Tony,perform.01,CPR,,Affirmative,"The family say there were no lifeguards at the pool and they were left to their own devices , with dad Tony having to perform CPR in a failed attempt to save his daughter . "
The family of a Forest Hill five-year-old who drowned in an Egyptian hotel pool,say.01,Choice have been unsupportive,,Affirmative,"And , one year later , the family say they have had no information from the Egyptian authorities , holiday company First Choice have been unsupportive and , with the lack of information from abroad , there is no news on when an inquest might be held . "
no lifeguards at the pool,have.03,no information from,,Affirmative,"And , one year later , the family say they have had no information from the Egyptian authorities , holiday company First Choice have been unsupportive and , with the lack of information from abroad , there is no news on when an inquest might be held . "
"Gran April Johnson , 68 , from Welling",say.01,We 've still had,,Affirmative,"Gran April Johnson , 68 , from Welling , said : We 've still had no input from Egypt , even First Choice have n't even rung us or anything at all . "
no input from Egypt,rung.01,us or,,Affirmative,"Gran April Johnson , 68 , from Welling , said : We 've still had no input from Egypt , even First Choice have n't even rung us or anything at all . "
the Egyptian authorities,ring.02,Tony and,,Affirmative,The last time they rung Tony and his partner was a couple of days after it happened . 
his partner,say.01,It 's upsetting about Chloe,,Affirmative,She said : It 's upsetting about Chloe and we 'll never forget her and we 've still  got the coroner 's court and everything to go through yet so there 's no closure that yet so we can grieve properly . 
the Egyptian authorities,forget.01,Chloe Johnson,,Affirmative,She said : It 's upsetting about Chloe and we 'll never forget her and we 've still  got the coroner 's court and everything to go through yet so there 's no closure that yet so we can grieve properly . 
still ,get.01,court and everything,,Affirmative,She said : It 's upsetting about Chloe and we 'll never forget her and we 've still  got the coroner 's court and everything to go through yet so there 's no closure that yet so we can grieve properly . 
the Egyptian authorities,go.02,through,,Affirmative,She said : It 's upsetting about Chloe and we 'll never forget her and we 've still  got the coroner 's court and everything to go through yet so there 's no closure that yet so we can grieve properly . 
the Egyptian authorities,grieve.01,no closure,,Affirmative,She said : It 's upsetting about Chloe and we 'll never forget her and we 've still  got the coroner 's court and everything to go through yet so there 's no closure that yet so we can grieve properly . 
Gran April Johnson,say.01,it was important,,Affirmative,Mrs Johnson said it was important to highlight the issue as many pools abroad are understaffed . 
Gran April Johnson,say.01,life is worth more than,,Affirmative,She said : A child 's life is worth more than a lifeguard 's wages . 
"Mr Johnson , 44",lay.01,flowers,to,Affirmative,"Mr Johnson , 44 , laid flowers at a memorial bench to his daughter at Kevin Grove Primary School last week . "
"Mr Johnson , 44",tell.01,They need,News Shopper,Affirmative,He told News Shopper : They need to do something . 
sufficient lifeguards where you 're going,need.01,to do something,,Affirmative,He told News Shopper : They need to do something . 
sufficient lifeguards where you 're going,do.02,something,,Affirmative,He told News Shopper : They need to do something . 
A spokesman for,say.01,Choice has been offering,,Affirmative,A spokesman for First Choice said : First Choice has been offering the family support since this tragic incident occurred . 
"Egypt , even First Choice",offer.01,the family support,,Affirmative,A spokesman for First Choice said : First Choice has been offering the family support since this tragic incident occurred . 
you,give.01,access to,them,Affirmative,We have given them access to independent counselling and the immediate family were provided with contact details for our dedicated welfare team . 
We,want.01,you to enjoy,,Affirmative,We want you to enjoy your visit to our website . 
you,enjoy.01,your visit to,,Affirmative,We want you to enjoy your visit to our website . 
We,use.01,the cookies,to enhance,Affirmative,That 's why we use cookies to enhance your experience . 
We,enhance.01,your experience,,Affirmative,That 's why we use cookies to enhance your experience . 
you,agree.01,to,,Affirmative,By staying on our website you agree to our use of cookies . 
We,use.01,the cookies,,Affirmative,Find out more about the cookies we use . 
