A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
two civic groups,say.01,violence has made,,Affirmative,"WASHINGTON -- The Northwest Branch Trail is supposed to be a pleasant hiker - biker trail , but after a brutal murder last week , two civic groups say gang violence has made it dangerous . "
gang violence,make.02,it dangerous,,Affirmative,"WASHINGTON -- The Northwest Branch Trail is supposed to be a pleasant hiker - biker trail , but after a brutal murder last week , two civic groups say gang violence has made it dangerous . "
Park Police,say.01,officers responded to,,Affirmative,The Maryland - National Capital Park Police said officers responded to a call at about 11:30 p.m. about a man lying unconscious on the ground near the 1500 block of Quebec Street in Langley Park . 
officers,respond.01,to,,Affirmative,The Maryland - National Capital Park Police said officers responded to a call at about 11:30 p.m. about a man lying unconscious on the ground near the 1500 block of Quebec Street in Langley Park . 
officers,find.01,Warner suffering from,,Affirmative,They found Warner suffering from stab wounds to his upper body . 
Warner,suffer.01,from,,Affirmative,They found Warner suffering from stab wounds to his upper body . 
death on,say.01,to be,,Affirmative,"Warner 's death on the Northwest Branch Trail , said to be gang - related , has the organizations working fight against gang violence , too . "
the organizations working,fight.01,against,,Affirmative,"Warner 's death on the Northwest Branch Trail , said to be gang - related , has the organizations working fight against gang violence , too . "
County Police and,investigate.01,death,,Affirmative,Prince George 's County Police and the Maryland - National Capital Park Police are investigating Warner 's death . 
