A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
School Board at,address.02,the defeat of,,Affirmative,"The Natrona County School Board at last week 's regular meeting briefly addressed the defeat of a $ 33 million school bond election , saying it remains committed to funding their innovative academy programs . "
School Board at,say.01,it remains committed,,Affirmative,"The Natrona County School Board at last week 's regular meeting briefly addressed the defeat of a $ 33 million school bond election , saying it remains committed to funding their innovative academy programs . "
The Natrona County School Board at last week 's regular meeting,address.02,how to acquire,,Affirmative,"The board will address how to acquire the specialized equipment needed to open the Center for Advanced and Professional Studies ( CAPS ) during its budget talks later this summer , along with security needs at district schools . "
The Natrona County School Board at last week 's regular meeting,acquire.01,the specialized equipment needed,,Affirmative,"The board will address how to acquire the specialized equipment needed to open the Center for Advanced and Professional Studies ( CAPS ) during its budget talks later this summer , along with security needs at district schools . "
The Natrona County School Board at last week 's regular meeting,spend.02,some time,thinking about,Affirmative,"The board is going to spend some time over the next several months thinking about the general budget for next year , board chairman Dave Applegate said . "
chairman Dave Applegate,say.01,board is going,,Affirmative,"The board is going to spend some time over the next several months thinking about the general budget for next year , board chairman Dave Applegate said . "
their,evaluate.01,the potential for,,Affirmative,"We 're in the midst of our budget process , and in that process we 'll evaluate the potential for some carryover in operational funds and the potential use of those to address some of the bond needs . "
by,finance.01,the equipment and,,Affirmative,"Because many of the advanced courses are above what the state - funding model provides ( and are classified as enhancements ) , the equipment and instructional materials must be financed by the local school district . "
The state,approve.01,the CAPS building in funding,,Affirmative,"The state , however , did approve the CAPS building in funding the district 's $ 280 million high school renovation program . "
The trustees,address.02,the bond issue,,Affirmative,The trustees addressed the bond issue during closing comments at their May 12 meeting . 
Driggers,note.01,"offer ,",,Affirmative,"Driggers then noted the board 's offer , made that evening , of entering into a long - term contract with Superintendent Steve Hopkins . "
Trustee Kevin Christopherson,outline.01,his view of,,Affirmative,"Trustee Kevin Christopherson outlined his view of the academy program , saying it 's an opportunity to give Natrona County students a better chance . "
Trustee Kevin Christopherson,say.01,it 's,,Affirmative,"Trustee Kevin Christopherson outlined his view of the academy program , saying it 's an opportunity to give Natrona County students a better chance . "
The board at,hope.01,"to build facilities ,",,Affirmative,"The board at one time had hoped to build facilities , such as pools , using lease / purchase . "
The board at,build.01,"facilities ,",,Affirmative,"The board at one time had hoped to build facilities , such as pools , using lease / purchase . "
The board at,use.01,lease / purchase,,Affirmative,"The board at one time had hoped to build facilities , such as pools , using lease / purchase . "
by,nix.01,that direction,,Affirmative,"But that direction was nixed by the Wyoming attorney general , though it might still be able to be utilized for other things . "
the Wyoming attorney general,make.02,it clear,,Affirmative,"The attorney general made it clear that we ca n't use lease / purchase for any facility - related enhancements , but it may be possible to use lease / purchase for equipment , Applegate remarked . "
we,use.01,lease / purchase,for,Affirmative,"The attorney general made it clear that we ca n't use lease / purchase for any facility - related enhancements , but it may be possible to use lease / purchase for equipment , Applegate remarked . "
board chairman Dave Applegate,remark.01,general made,,Affirmative,"The attorney general made it clear that we ca n't use lease / purchase for any facility - related enhancements , but it may be possible to use lease / purchase for equipment , Applegate remarked . "
plans,call.03,for,,Affirmative,"The NCHS swimming pool will be demolished this summer as part of the reconstruction program , and plans called for the renovation of the existing Kelly Walsh pool . "
board chairman Dave Applegate,say.01,pool will continue,,Affirmative,"Applegate said the Kelly Walsh pool will continue to be used , but with few improvements . "
the local school district,hope.01,to continue,,Affirmative,"The district had hoped to continue the swimming curriculum at both KW and NCHS , but the NCHS program is apparently going to have to be reconsidered . "
the local school district,continue.01,the swimming curriculum,,Affirmative,"The district had hoped to continue the swimming curriculum at both KW and NCHS , but the NCHS program is apparently going to have to be reconsidered . "
board chairman Dave Applegate,say.01,", could possibly continue in",,Affirmative,"The competitive swim team at NCHS , which has long been quite small compared to KW 's , could possibly continue in an arrangement somewhat like the Nordic ski program , where both teams practice together , Applegate said . "
