A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
MOSCOW ( AP ) --,order.01,troops deployed near Ukraine,to return to,Affirmative,MOSCOW ( AP ) -- Russian President Vladimir Putin today ordered troops deployed near Ukraine to return to their home bases and praised the launch of a dialogue between the Ukrainian government and its opponents even as fighting continued in the eastern parts of the country . 
MOSCOW ( AP ) --,praise.01,the launch of,,Affirmative,MOSCOW ( AP ) -- Russian President Vladimir Putin today ordered troops deployed near Ukraine to return to their home bases and praised the launch of a dialogue between the Ukrainian government and its opponents even as fighting continued in the eastern parts of the country . 
Russian President Vladimir Putin today ordered troops deployed near Ukraine to return to their home bases and praised the launch of a dialogue between the Ukrainian government and its opponents even as fighting continued in the eastern parts of the country,order.01,Minister Sergei Shoigu,to pull back forces involved in,Affirmative,"Putin specifically ordered Defense Minister Sergei Shoigu to pull back forces involved in planned spring drills in the Rostov , Belgorod and Bryansk regions to their home bases , the Kremlin said . "
Minister Sergei Shoigu,pull.01,forces involved in,back,Affirmative,"Putin specifically ordered Defense Minister Sergei Shoigu to pull back forces involved in planned spring drills in the Rostov , Belgorod and Bryansk regions to their home bases , the Kremlin said . "
the Kremlin,say.01,Putin specifically ordered,,Affirmative,"Putin specifically ordered Defense Minister Sergei Shoigu to pull back forces involved in planned spring drills in the Rostov , Belgorod and Bryansk regions to their home bases , the Kremlin said . "
border Ukraine and,signal.01,a genuine attempt by Moscow,,Affirmative,The three regions border Ukraine and the withdrawal of troops deployed there to other Russian provinces would signal a genuine attempt by Moscow to de-escalate the worst crisis in its relations with the West since the Cold War . 
The United States and NATO,say.01,they saw,,Affirmative,"The United States and NATO said they saw no sign of a pullout after Putin 's earlier claim of a withdrawal , and NATO today said it did n't see any immediate movements to validate the latest assertions . "
troops deployed there to other Russian provinces,see.01,no sign of,,Affirmative,"The United States and NATO said they saw no sign of a pullout after Putin 's earlier claim of a withdrawal , and NATO today said it did n't see any immediate movements to validate the latest assertions . "
NATO,say.01,it did n't see,,Affirmative,"The United States and NATO said they saw no sign of a pullout after Putin 's earlier claim of a withdrawal , and NATO today said it did n't see any immediate movements to validate the latest assertions . "
NATO,see.01,any immediate movements,,Affirmative,"The United States and NATO said they saw no sign of a pullout after Putin 's earlier claim of a withdrawal , and NATO today said it did n't see any immediate movements to validate the latest assertions . "
The Kremlin statement,say.01,troops would be pulled out from,,Affirmative,The Kremlin statement did n't say how many troops would be pulled out from the three regions or specify how quick the withdrawal would be . 
many troops,specify.01,withdrawal would be,,Affirmative,The Kremlin statement did n't say how many troops would be pulled out from the three regions or specify how quick the withdrawal would be . 
move,represent.01,an attempt,,Affirmative,Putin 's move appears to represent an attempt to ease tensions with the West and avoid another round of crippling sanctions . 
The U.S. and,slap.01,travel bans and,,Affirmative,The U.S. and the European Union have slapped travel bans and asset freezes on members of Putin 's entourage over Russia 's annexation of Crimea . 
members of Putin 's entourage,threaten.01,to target,,Affirmative,They threatened to target entire sectors of the Russian economy with sanctions if Russia tries to derail Ukraine 's presidential vote set for Sunday . 
members of Putin 's entourage,target.01,entire sectors of,,Affirmative,They threatened to target entire sectors of the Russian economy with sanctions if Russia tries to derail Ukraine 's presidential vote set for Sunday . 
eastern Ukraine,try.01,to derail,,Affirmative,They threatened to target entire sectors of the Russian economy with sanctions if Russia tries to derail Ukraine 's presidential vote set for Sunday . 
eastern Ukraine,derail.01,presidential vote set for Sunday,,Affirmative,They threatened to target entire sectors of the Russian economy with sanctions if Russia tries to derail Ukraine 's presidential vote set for Sunday . 
Foreign Ministry,say.01,it was checking,,Affirmative,"Ukraine 's Foreign Ministry said it was checking the information about the troops ' withdrawal and urged Moscow to also cancel an air force exercise , set to take place in southwestern Russia between Wednesday and Sunday . "
Ukraine 's Foreign Ministry,check.01,the information about,,Affirmative,"Ukraine 's Foreign Ministry said it was checking the information about the troops ' withdrawal and urged Moscow to also cancel an air force exercise , set to take place in southwestern Russia between Wednesday and Sunday . "
Ukraine 's Foreign Ministry,urge.01,eastern Ukraine,to also cancel,Affirmative,"Ukraine 's Foreign Ministry said it was checking the information about the troops ' withdrawal and urged Moscow to also cancel an air force exercise , set to take place in southwestern Russia between Wednesday and Sunday . "
eastern Ukraine,cancel.01,force exercise,,Affirmative,"Ukraine 's Foreign Ministry said it was checking the information about the troops ' withdrawal and urged Moscow to also cancel an air force exercise , set to take place in southwestern Russia between Wednesday and Sunday . "
Ukraine 's Foreign Ministry,say.01,would fuel tensions during,,Affirmative,"It said the exercise -- which would involve more than 70 combat aircraft , including Tu-22 M long - range bombers -- would fuel tensions during the vote . "
"Pro-Russian rebels ,",seize.01,government buildings,,Affirmative,"Pro-Russian rebels , who have seized government buildings in eastern Ukraine and fought government troops , have declared two sprawling provinces independent and vowed to block Sunday 's vote . "
"Pro-Russian rebels ,",fight.01,government troops,,Affirmative,"Pro-Russian rebels , who have seized government buildings in eastern Ukraine and fought government troops , have declared two sprawling provinces independent and vowed to block Sunday 's vote . "
"Pro-Russian rebels ,",declare.02,two sprawling provinces independent,,Affirmative,"Pro-Russian rebels , who have seized government buildings in eastern Ukraine and fought government troops , have declared two sprawling provinces independent and vowed to block Sunday 's vote . "
"Pro-Russian rebels ,",vow.01,to block,,Affirmative,"Pro-Russian rebels , who have seized government buildings in eastern Ukraine and fought government troops , have declared two sprawling provinces independent and vowed to block Sunday 's vote . "
"Pro-Russian rebels ,",block.01,vote,,Affirmative,"Pro-Russian rebels , who have seized government buildings in eastern Ukraine and fought government troops , have declared two sprawling provinces independent and vowed to block Sunday 's vote . "
Ukraine and,accuse.01,eastern Ukraine,of fomenting,Affirmative,"Ukraine and the West have accused Russia of fomenting the mutiny , claims Russia has denied . "
eastern Ukraine,foment.01,the mutiny,,Affirmative,"Ukraine and the West have accused Russia of fomenting the mutiny , claims Russia has denied . "
Putin,face.01,Western pressure,,Affirmative,"Facing Western pressure , Putin supported a peace plan for settling the crisis , which was brokered by the Swiss chairmanship of the Organization for Security and Cooperation in Europe . "
Putin,support.01,a peace plan for settling,,Affirmative,"Facing Western pressure , Putin supported a peace plan for settling the crisis , which was brokered by the Swiss chairmanship of the Organization for Security and Cooperation in Europe . "
by,broker.01,"the crisis ,",,Affirmative,"Facing Western pressure , Putin supported a peace plan for settling the crisis , which was brokered by the Swiss chairmanship of the Organization for Security and Cooperation in Europe . "
The OSCE road map,aim.01,to halt,,Affirmative,"The OSCE road map aims to halt the violence and de-escalate tensions ahead of the vote , by offering an amnesty for those involved in the unrest and urging talks on decentralization and the status of the Russian language . "
The OSCE road map,halt.01,the violence and de-escalate tensions,,Affirmative,"The OSCE road map aims to halt the violence and de-escalate tensions ahead of the vote , by offering an amnesty for those involved in the unrest and urging talks on decentralization and the status of the Russian language . "
