A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
The Norwegian Government,allocate.01,a further USD 63 million,to,Affirmative,The Norwegian Government is therefore allocating a further USD 63 million to humanitarian efforts in South Sudan . 
"Norway , in cooperation with the UN",send.01,a clear signal about,,Affirmative,"By making this substantial contribution , Norway is sending a clear signal about the gravity of the situation , ' said Minister of Foreign Affairs Børge Brende . "
Børge Brende,say.01,", Norway is sending",,Affirmative,"By making this substantial contribution , Norway is sending a clear signal about the gravity of the situation , ' said Minister of Foreign Affairs Børge Brende . "
"Norway , in cooperation with the UN",provided.01,the USD 17 million,for,Affirmative,This allocation comes in addition to the USD 17 million Norway has already provided for humanitarian efforts in South Sudan this year . 
a great many,lose.02,their homes and,,Affirmative,"Since last December , when armed conflict broke out in the country , over 1.3 million people have been forced to flee , and a great many have lost their homes and their livelihoods . "
Humanitarian partners,expect.01,crisis will continue,,Affirmative,Humanitarian partners expect that the current crisis will continue to deteriorate in the months to come . 
The UN,increase.01,the funding requirement for,,Affirmative,The UN has now increased the funding requirement for humanitarian assistance from USD 1.3 billion to USD 1.8 billion . 
by,provided.01,only USD 590 million,,Affirmative,"So far , only USD 590 million has been provided by international donors . "
"Norway , in cooperation with the UN",host.01,an international humanitarian pledging conference for,,Affirmative,"Due to the critical and growing need for emergency relief and the protection of civilians , Norway , in cooperation with the UN , is hosting an international humanitarian pledging conference for South Sudan in Oslo on 19-20 May . "
We,bring.01,important humanitarian actors,,Affirmative,"We are bringing together the most important humanitarian actors in Oslo so that we can agree on joint measures to provide better help to the millions of people affected by the conflict , ' said Mr Brende . "
We,agree.01,on,,Affirmative,"We are bringing together the most important humanitarian actors in Oslo so that we can agree on joint measures to provide better help to the millions of people affected by the conflict , ' said Mr Brende . "
We,provide.01,better help,to,Affirmative,"We are bringing together the most important humanitarian actors in Oslo so that we can agree on joint measures to provide better help to the millions of people affected by the conflict , ' said Mr Brende . "
by,affect.01,people affected by,,Affirmative,"We are bringing together the most important humanitarian actors in Oslo so that we can agree on joint measures to provide better help to the millions of people affected by the conflict , ' said Mr Brende . "
Mr Brende,say.01,We are bringing together,,Affirmative,"We are bringing together the most important humanitarian actors in Oslo so that we can agree on joint measures to provide better help to the millions of people affected by the conflict , ' said Mr Brende . "
Minister Brende,stress.01,would be,,Affirmative,Foreign Minister Brende stressed that a cessation of hostilities would be the most important step towards mitigating the humanitarian crisis in South Sudan . 
This,allow.01,need,,Affirmative,"This would allow people in acute need to get access to humanitarian assistance , and those who have had to flee their homes would be able to return and start to rebuild their lives . "
people in acute,need.01,to get access to,,Affirmative,"This would allow people in acute need to get access to humanitarian assistance , and those who have had to flee their homes would be able to return and start to rebuild their lives . "
people in acute,get.01,access to,,Affirmative,"This would allow people in acute need to get access to humanitarian assistance , and those who have had to flee their homes would be able to return and start to rebuild their lives . "
those,flee.01,their homes,,Affirmative,"This would allow people in acute need to get access to humanitarian assistance , and those who have had to flee their homes would be able to return and start to rebuild their lives . "
those,start.01,to rebuild,,Affirmative,"This would allow people in acute need to get access to humanitarian assistance , and those who have had to flee their homes would be able to return and start to rebuild their lives . "
"neighbouring countries ,",receive.01,a large number of refugees,,Affirmative,"In addition , some of the funds will be allocated to relief efforts in South Sudan 's neighbouring countries , which are receiving a large number of refugees . "
Location Maps - Country,map.01,for,,Affirmative,Location Maps - Country maps for your reports and presentations . 
