A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
torn Somalia,face.01,another famine,,Affirmative,"War - torn Somalia is on the verge of another humanitarian crisis and may face another famine unless donor funding is received , a United Nations official said . "
Nations official,say.01,Somalia is on,,Affirmative,"War - torn Somalia is on the verge of another humanitarian crisis and may face another famine unless donor funding is received , a United Nations official said . "
Philippe Lazzarini,say.01,We are at risk of slipping back to,,Affirmative,"We are at risk of slipping back to a crisis situation only two years after the famine , after we collectively said ' never again , ' he said . "
another 2 million,struggle.02,to meet,,Affirmative,"At least 2.9 million people in Somalia are currently in need of food aid and another 2 million are struggling to meet their own minimal - food requirements , the UN said today . "
another 2 million,meet.01,food requirements,,Affirmative,"At least 2.9 million people in Somalia are currently in need of food aid and another 2 million are struggling to meet their own minimal - food requirements , the UN said today . "
the UN,say.01,are currently in need of,,Affirmative,"At least 2.9 million people in Somalia are currently in need of food aid and another 2 million are struggling to meet their own minimal - food requirements , the UN said today . "
Philippe Lazzarini,say.01,is risking millions of,,Affirmative,"Continuing conflict between African Union - backed government forces and al - Qaeda - linked militants , drought and a lack of funding because of competing crises in South Sudan and Syria is risking millions of Somali lives , Lazzarini said . "
"Bloomberg ,",send.01,offers and promotions,me,Affirmative,"Bloomberg , on behalf of itself and select partners , may send me offers and promotions . "
you,subscribe.01,to,,Affirmative,Thank you for subscribing to our Daily Newsletter . 
you,receive.01,a confirmation email,,Affirmative,You will receive a confirmation email shortly at . 
