A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
President Park Geun-hye,deliver.01,a speech,to,Affirmative,"South Korean President Park Geun-hye weeps while delivering a speech to the nation about the sunken ferry Sewol at the presidential Blue House in Seoul , South Korea , Monday , May 19 , 2014 . "
president,say.01,she will push,,Affirmative,"South Korea 's president said Monday she will push to disband the coast guard in the wake of last month 's ferry disaster that left more than 300 people dead or missing , calling its rescue operations after the disaster a failure . "
the ferry Sewol,disband.01,the coast guard,,Affirmative,"South Korea 's president said Monday she will push to disband the coast guard in the wake of last month 's ferry disaster that left more than 300 people dead or missing , calling its rescue operations after the disaster a failure . "
ferry disaster,leave.01,300 people,dead or missing,Affirmative,"South Korea 's president said Monday she will push to disband the coast guard in the wake of last month 's ferry disaster that left more than 300 people dead or missing , calling its rescue operations after the disaster a failure . "
the ferry Sewol,call.01,its rescue operations,a failure,Affirmative,"South Korea 's president said Monday she will push to disband the coast guard in the wake of last month 's ferry disaster that left more than 300 people dead or missing , calling its rescue operations after the disaster a failure . "
Senior students,cope.01,with losses and trauma,,Affirmative,"During the first two days classes will focus on helping students cope with losses and trauma , with assistance from psychiatrists and professional counselors , said An Soon - uk , a supervisor at Gyeonggi Provincial Office of Education . "
"An Soon - uk ,",say.01,will focus on helping,,Affirmative,"During the first two days classes will focus on helping students cope with losses and trauma , with assistance from psychiatrists and professional counselors , said An Soon - uk , a supervisor at Gyeonggi Provincial Office of Education . "
Danwon High School in Ansan,turn.01,some of,,Affirmative,The school has turned some of the classrooms into a medical center so students will be able to seek help during classes . 
Senior students,seek.01,help,,Affirmative,The school has turned some of the classrooms into a medical center so students will be able to seek help during classes . 
Critics,say.01,Geun-hye was trying,,Affirmative,Critics said President Park Geun-hye was trying to shift attention from her mishandling of one of South Korea 's deadliest disasters in decades . 
South Korean President Park Geun-hye,try.01,to shift attention from,,Affirmative,Critics said President Park Geun-hye was trying to shift attention from her mishandling of one of South Korea 's deadliest disasters in decades . 
South Korean President Park Geun-hye,shift.01,attention,from,Affirmative,Critics said President Park Geun-hye was trying to shift attention from her mishandling of one of South Korea 's deadliest disasters in decades . 
by water caught many by surprise,surround.01,a country surrounded on,,Affirmative,"The move to abolish an independent coast guard in a country surrounded on three sides by water caught many by surprise , but the agency has faced withering criticism that it acted slowly and unprofessionally in botched rescue and search efforts . "
by surprise,catch.03,water caught many by surprise,many,Affirmative,"The move to abolish an independent coast guard in a country surrounded on three sides by water caught many by surprise , but the agency has faced withering criticism that it acted slowly and unprofessionally in botched rescue and search efforts . "
the agency,face.01,withering criticism,,Affirmative,"The move to abolish an independent coast guard in a country surrounded on three sides by water caught many by surprise , but the agency has faced withering criticism that it acted slowly and unprofessionally in botched rescue and search efforts . "
the agency,wither.01,criticism,,Affirmative,"The move to abolish an independent coast guard in a country surrounded on three sides by water caught many by surprise , but the agency has faced withering criticism that it acted slowly and unprofessionally in botched rescue and search efforts . "
sinking,leave.01,300 people,dead or missing,Affirmative,The April 16 sinking has left more than 300 people dead or missing . 
You,need.01,an online service,,Affirmative,You need an online service to view this article in its entirety . 
You,view.01,this article in,,Affirmative,You need an online service to view this article in its entirety . 
