A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
based Aston Properties,own.01,"Village shopping center ,",,Affirmative,"Greensboro 's Quaker Village shopping center , which Charlotte - based Aston Properties has owned since Feb . "
Some neighbors of,say.01,they are opposed to plans,,Affirmative,"Some neighbors of the Quaker Village shopping center in Greensboro say they are opposed to plans for a Walmart Neighborhood Market to locate there , Fox 8 reports . "
they,oppose.01,to plans,,Affirmative,"Some neighbors of the Quaker Village shopping center in Greensboro say they are opposed to plans for a Walmart Neighborhood Market to locate there , Fox 8 reports . "
a Walmart Neighborhood Market,locate.01,reports,,Affirmative,"Some neighbors of the Quaker Village shopping center in Greensboro say they are opposed to plans for a Walmart Neighborhood Market to locate there , Fox 8 reports . "
this spring,bring.01,"a 41,839-square-foot grocery store",,Affirmative,"The Triad Business Journal first reported in February of plans for a renovation planned for this spring that will bring a 41,839-square-foot grocery store . "
Some residents,say.01,they do n't want Walmart in,,Affirmative,Some residents say they do n't want Walmart in a shopping center with mostly small businesses . 
they,want.01,Walmart,,Affirmative,Some residents say they do n't want Walmart in a shopping center with mostly small businesses . 
They,start.01,an online petition,,Affirmative,"They 've started an online petition and are sharing with the shopping center 's owner , Aston Properties , their concerns about traffic and noise . "
Quaker,villageâ€™s.01,existing buildings facing,,Affirmative,"Quaker Villageâ€™s existing buildings facing West Friendly Avenue â€ including an existing Starbucks , Elizabethâ€™s Pizza and Menchieâ€™s Frozen Yogurt â€ will stay in place . "
existing buildings facing,face.01,West Friendly Avenue,,Affirmative,"Quaker Villageâ€™s existing buildings facing West Friendly Avenue â€ including an existing Starbucks , Elizabethâ€™s Pizza and Menchieâ€™s Frozen Yogurt â€ will stay in place . "
Amy Dominello Braun,manage.01,"Web content ,",,Affirmative,"Amy Dominello Braun manages Web content , social media and awards - based special sections . "
you,comment.01,using,,Affirmative,"If you are commenting using a Facebook account , your profile information may be displayed with your comment depending on your privacy settings . "
you,use.01,a Facebook account,,Affirmative,"If you are commenting using a Facebook account , your profile information may be displayed with your comment depending on your privacy settings . "
your comment depending on,depend.01,on,,Affirmative,"If you are commenting using a Facebook account , your profile information may be displayed with your comment depending on your privacy settings . "
