A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Police,arrest.01,a suspect,,Affirmative,Police have arrested a suspect in the death of 38 - year - old Tina Hoult . 
The Omaha Police Homicide Unit,issue.01,an arrest warrant,,Affirmative,The Omaha Police Homicide Unit issued an arrest warrant earlier Monday for Burries for First Degree Murder . 
Authorities in Missouri,make.LV,the arrest,,Affirmative,Authorities in Missouri made the arrest . 
Police investigators,identify.01,the woman,,Affirmative,Police investigators earlier identified the woman whose body was found Sunday in a southwest Omaha apartment as 38 - year - old Tina L. Hoult . 
TIna 's,lose.02,TIna 's cousin,,Affirmative,"She is devastated about the news of losing her cousin , she called her sister . "
TIna 's,call.01,her sister,,Affirmative,"She is devastated about the news of losing her cousin , she called her sister . "
TIna 's cousin,know.01,to do,,Affirmative,I ran to her when I did n't know what else to do - especially in times of heartache like this . 
the one,help.01,TIna 's cousin,,Affirmative,She was the one who helped me through . 
Omaha Police,find.01,her dead in,,Affirmative,Omaha Police found her dead in the Warren House Apartments near 97th & Mockingbird Drive on Sunday morning . 
Shannyn,struggle.02,to deal with,,Affirmative,Shannyn is still struggling to deal with the news . 
Shannyn,deal.01,with,,Affirmative,Shannyn is still struggling to deal with the news . 
Omaha Police,want.01,to believe it,,Affirmative,I did n't want to believe it . 
Omaha Police,believe.01,Shannyn,,Affirmative,I did n't want to believe it . 
Omaha Police,want.01,to believe it,,Affirmative,I still do n't want to believe it . 
Omaha Police,believe.01,Shannyn,,Affirmative,I still do n't want to believe it . 
we,consider.01,ourselves cousins,,Affirmative,"We were so close that we never , ever considered ourselves cousins . "
we,consider.01,ourselves sisters,,Affirmative,We considered ourselves sisters . 
Omaha Police,hope.01,knows,,Affirmative,I just hope that the person who took my sister knows that justice will be served . 
the person,take.01,her sister,,Affirmative,I just hope that the person who took my sister knows that justice will be served . 
the person,know.01,that justice will be served,,Affirmative,I just hope that the person who took my sister knows that justice will be served . 
Shannyn,describe.01,TIna 's,"as blunt , charismatic , crazy , and wonderful",Affirmative,"Shannyn describes Tina as blunt , charismatic , crazy , and wonderful . "
TIna 's,say.01,Tina grew up in Omaha,,Affirmative,She says Tina grew up in Omaha and was a CNA . 
an all-out amazing caregiver,love.01,"her clients ,",,Affirmative,"She loved her clients , her patients , her residents . "
the family,mourn.01,the family,,Affirmative,"And as the family mourns her , they hope the person responsible for her death is caught soon . "
an all-out amazing caregiver,hope.01,is caught soon,,Affirmative,"And as the family mourns her , they hope the person responsible for her death is caught soon . "
an all-out amazing caregiver,want.01,to see,,Affirmative,I want to see the person responsible for this go away for a long time . 
an all-out amazing caregiver,see.01,go away for,,Affirmative,I want to see the person responsible for this go away for a long time . 
Shannyn,say.01,she found,,Affirmative,Shannyn also says she found a gold angel at work Monday . 
the family,find.01,a gold angel at work,,Affirmative,Shannyn also says she found a gold angel at work Monday . 
the family,believe.01,Tina sent it to her,,Affirmative,She believes Tina sent it to her as a message from heaven . 
TIna 's,send.01,Shannyn,to her,Affirmative,She believes Tina sent it to her as a message from heaven . 
Police,check.01,well - being around 8:30,,Affirmative,Police were sent to check Tina 's well - being around 8:30 Sunday morning and found her body in the apartment . 
Police,find.01,her body,,Affirmative,Police were sent to check Tina 's well - being around 8:30 Sunday morning and found her body in the apartment . 
by,shake.01,Neighbors,,Affirmative,Neighbors were shaken by the news . 
Donna,take.01,Buddy,,Affirmative,Donna takes Buddy on his daily walk through her neighborhood but she was unnerved Monday after learning of the homicide investigation near the local police station . 
Donna,learn.01,of,,Affirmative,Donna takes Buddy on his daily walk through her neighborhood but she was unnerved Monday after learning of the homicide investigation near the local police station . 
Neighbors,tell.01,6 News,WOWT,Affirmative,Neighbors tell WOWT 6 News that Hoult lived alone . 
Neighbors,say.01,that investigators told them,,Affirmative,They said that investigators told them not to say more . 
Police investigators,tell.01,not to say more,them,Affirmative,They said that investigators told them not to say more . 
Police investigators,say.01,more,,Affirmative,They said that investigators told them not to say more . 
the first time neighbors have been shaken,have.03,no comment,,Affirmative,Apartment management also had no comment . 
Police,investigate.01,a homicide,,Affirmative,"In September of last year , near 99th and Park Drive , police were investigating a homicide . "
Her daughter,find.01,her stabbed to death,,Affirmative,Her daughter found her stabbed to death . 
a young man from Springfield,cling.01,to life,,Affirmative,"In February of this year , a young man from Springfield was found in a drainage ditch , barely clinging to life . "
Sunday,bring.01,another homicide investigation,,Affirmative,Sunday brought another homicide investigation and more unsettled nerves for neighbors . 
