A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
the city,demolish.01,an encampment,,Affirmative,"Crates , insulation and other materials piled up near Burlington Electric Department 's Pine Street office await disposal after the city demolished an encampment where Forrest Bryant , 40 , was found dead . "
Burlington police,arrest.01,a man,,Affirmative,Burlington police have arrested a man they say is a person of interest in a death Saturday in a transient camp off Pine Street . 
Burlington police,say.01,is,,Affirmative,Burlington police have arrested a man they say is a person of interest in a death Saturday in a transient camp off Pine Street . 
the authorities,say.01,they consider Delude,,Affirmative,"Authorities say they consider Delude a person of interest in the death of Forrest Bryant , 40 , a transient who had been living in the Burlington area for about three months . "
the authorities,consider.01,Mark Delude,,Affirmative,"Authorities say they consider Delude a person of interest in the death of Forrest Bryant , 40 , a transient who had been living in the Burlington area for about three months . "
Burlington police,say.01,were involved in,,Affirmative,"Delude and Bryant were involved in an altercation the night or early morning before Bryant 's body was found , city police said . "
witnesses at,find.01,Bryant dead,,Affirmative,"A short time later , witnesses at the scene found Bryant dead , but Delude attempted to stop anyone from calling police and rescue personnel , the authorities said Monday . "
Mark Delude,attempt.01,to stop anyone from calling police and,,Affirmative,"A short time later , witnesses at the scene found Bryant dead , but Delude attempted to stop anyone from calling police and rescue personnel , the authorities said Monday . "
Mark Delude,stop.01,anyone,from calling police and,Affirmative,"A short time later , witnesses at the scene found Bryant dead , but Delude attempted to stop anyone from calling police and rescue personnel , the authorities said Monday . "
anyone,call.01,police and,,Affirmative,"A short time later , witnesses at the scene found Bryant dead , but Delude attempted to stop anyone from calling police and rescue personnel , the authorities said Monday . "
the authorities,say.01,found,,Affirmative,"A short time later , witnesses at the scene found Bryant dead , but Delude attempted to stop anyone from calling police and rescue personnel , the authorities said Monday . "
The authorities from,characterize.01,Mr. Bryant 's death,as suspicious,Affirmative,The authorities from the start have characterized the death as suspicious . 
police,release.01,name,,Affirmative,"Earlier Monday , police released Bryant 's name after withholding it through the weekend as relatives were notified and the investigation proceeded . "
investigators,describe.01,"Bryant ,",as,Affirmative,"Bryant , whom investigators described as a transient , is believed to have spent time in St. Albans , southern Vermont and New York in addition to Burlington . "
"Bryant ,",spend.02,time,,Affirmative,"Bryant , whom investigators described as a transient , is believed to have spent time in St. Albans , southern Vermont and New York in addition to Burlington . "
Chief Michael Schirling,say.01,that Bryant was known to police,,Affirmative,"Burlington Police Chief Michael Schirling said Monday that Bryant was known to police , although he had no arrest record with the agency . "
to police,know.01,"Forrest Bryant , 40 , a transient who had been living in the Burlington area for about three months",,Affirmative,"Burlington Police Chief Michael Schirling said Monday that Bryant was known to police , although he had no arrest record with the agency . "
