A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
"Forrest Bryant , 40 , a transient who had been living in the Burlington area for about three months",have.03,no arrest record with,,Affirmative,"Burlington Police Chief Michael Schirling said Monday that Bryant was known to police , although he had no arrest record with the agency . "
Chief Michael Schirling,give.01,a briefing on,,Affirmative,"Burlington Police Chief Michael Schirling gives a briefing on the death of Forrest Bryant , 40 , at a encampment off Pine Street . "
departments,respond.01,to,,Affirmative,"At about 7 a.m. Saturday , Burlington fire and police departments responded to the woods between 431 and 585 Pine St. , where a man was reported as being unresponsive . "
body,have.03,no signs of,,Affirmative,"The man 's body had no signs of significant external trauma , Schirling said , and there was no indication that a weapon was used . "
Burlington Police Chief Michael Schirling,say.01,body had,,Affirmative,"The man 's body had no signs of significant external trauma , Schirling said , and there was no indication that a weapon was used . "
body,show.01,signs of involvement in,,Affirmative,"Bryant 's body did show signs of involvement in an altercation , the chief added . "
the chief,add.01,body did show signs of involvement in,,Affirmative,"Bryant 's body did show signs of involvement in an altercation , the chief added . "
Burlington Police Chief Michael Schirling,say.01,he was unsure,,Affirmative,Schirling said he was unsure if Delude showed signs of having been in an altercation . 
Mark Delude,show.01,signs of,,Affirmative,Schirling said he was unsure if Delude showed signs of having been in an altercation . 
the chief,say.01,incident is believed,,Affirmative,"Toxicology results are pending , but the chief said the incident is believed to be unconnected to drugs . "
Burlington Police Chief Michael Schirling,say.01,There was,,Affirmative,"There was an indication that alcohol was present at the camp , Schirling said . "
the chief,say.01,charge is applies in,,Affirmative,"The obstruction charge is applies in Delude 's case , the chief said , because of Delude 's attempt to stop people from calling emergency personnel . "
people,call.01,emergency personnel,,Affirmative,"The obstruction charge is applies in Delude 's case , the chief said , because of Delude 's attempt to stop people from calling emergency personnel . "
An affidavit sharing details of,share.01,details of,,Affirmative,"An affidavit sharing details of the incident was expected to be filed today with Vermont Superior Court in Burlington , where Delude is scheduled to be arraigned . "
Attorney T.J. Donovan,estimate.01,man had,,Affirmative,"Chittenden County State 's Attorney T.J. Donovan estimated the man had more than 75 arrests , including some for assaults . "
The man 's,have.03,"75 arrests , including some for assaults",,Affirmative,"Chittenden County State 's Attorney T.J. Donovan estimated the man had more than 75 arrests , including some for assaults . "
Chittenden County State 's Attorney T.J. Donovan,say.01,Most are misdemeanors,,Affirmative,"Most are misdemeanors , Donovan said . "
Court records,show.01,"convictions include burglary ,",,Affirmative,"Court records show his convictions include burglary , unlawful trespass , escape from custody and violating conditions of release . "
his convictions,violate.01,conditions of release,,Affirmative,"Court records show his convictions include burglary , unlawful trespass , escape from custody and violating conditions of release . "
The prosecutor,describe.01,Mark Delude,as,Affirmative,The prosecutor described Delude as a transient . 
Burlington Police Chief Michael Schirling,think.01,it 's important,,Affirmative,"I think it 's important to note he 's not charged with anything directly related to Mr. Bryant 's death , but with this ongoing investigation and the need to ensure that we 're being thorough and , well , that 's it , being thorough , that it 's important to turn over all the various rocks , Schirling said . "
Burlington Police Chief Michael Schirling,say.01,I think,,Affirmative,"I think it 's important to note he 's not charged with anything directly related to Mr. Bryant 's death , but with this ongoing investigation and the need to ensure that we 're being thorough and , well , that 's it , being thorough , that it 's important to turn over all the various rocks , Schirling said . "
the chief,say.01,examiner continues,,Affirmative,The chief said the medical examiner continues to work to determine what caused Bryant 's death . 
The Vermont Chief Medical Examiner 's,work.01,to determine,,Affirmative,The chief said the medical examiner continues to work to determine what caused Bryant 's death . 
The Vermont Chief Medical Examiner 's,determine.01,what caused,,Affirmative,The chief said the medical examiner continues to work to determine what caused Bryant 's death . 
further details,take.01,three weeks,,Affirmative,"The cause remained undetermined after an initial autopsy , and further details could take about three weeks . "
Efforts,begin.01,the following day,,Affirmative,"Efforts began the following day to contact people staying in the encampment using the HowardCenter Street Outreach Team , police said in a statement . "
police,say.01,Efforts began,,Affirmative,"Efforts began the following day to contact people staying in the encampment using the HowardCenter Street Outreach Team , police said in a statement . "
Team members,contact.01,the campers,,Affirmative,Team members contacted the campers and advised that they would have to remove their belongings by early this week as the encampments would be dismantled at the request of a private property owner and workers in the area . 
Team members,remove.01,their belongings,,Affirmative,Team members contacted the campers and advised that they would have to remove their belongings by early this week as the encampments would be dismantled at the request of a private property owner and workers in the area . 
the authorities,say.01,there was,,Affirmative,The authorities said there was no known connection between that announcement and Bryant 's death the next day . 
The Street Outreach Team on Sunday,contact.01,people in,,Affirmative,The Street Outreach Team on Sunday contacted people in the camp to help them find resources and to tell them they would need to remove belongings before the camp was dismantled . 
The Street Outreach Team on Sunday,help.01,them find resources and,,Affirmative,The Street Outreach Team on Sunday contacted people in the camp to help them find resources and to tell them they would need to remove belongings before the camp was dismantled . 
people,find.01,resources,,Affirmative,The Street Outreach Team on Sunday contacted people in the camp to help them find resources and to tell them they would need to remove belongings before the camp was dismantled . 
people,tell.01,they would need,them,Affirmative,The Street Outreach Team on Sunday contacted people in the camp to help them find resources and to tell them they would need to remove belongings before the camp was dismantled . 
people,need.01,to remove belongings,,Affirmative,The Street Outreach Team on Sunday contacted people in the camp to help them find resources and to tell them they would need to remove belongings before the camp was dismantled . 
people,remove.01,their belongings,,Affirmative,The Street Outreach Team on Sunday contacted people in the camp to help them find resources and to tell them they would need to remove belongings before the camp was dismantled . 
The 5-10 people,receive.01,social services,,Affirmative,"The 5-10 people who were in the encampment are receiving services in the community , Schirling said . "
Burlington Police Chief Michael Schirling,say.01,are receiving services in,,Affirmative,"The 5-10 people who were in the encampment are receiving services in the community , Schirling said . "
the chief,add.01,people were in,,Affirmative,"Four or five people were in the area as the incident unfolded , the chief added . "
Burlington Police Chief Michael Schirling,say.01,encampment likely had been around for,,Affirmative,"Based on the structures found , Schirling said the encampment likely had been around for some time . "
crews,use.01,heavy machinery,to remove,Affirmative,"Monday , crews used heavy machinery to remove the camp . "
crews,remove.01,a transient camp off Pine Street,,Affirmative,"Monday , crews used heavy machinery to remove the camp . "
the encampments,pose.02,public health problems,for inhabitants due to,Affirmative,"Encampments pose public health problems for inhabitants due to a lack of facilities and of warmth , Schirling said . "
Burlington Police Chief Michael Schirling,say.01,Encampments pose,,Affirmative,"Encampments pose public health problems for inhabitants due to a lack of facilities and of warmth , Schirling said . "
the chief,say.01,It 's,,Affirmative,"It 's no secret to anyone who lives in Chittenden County that encampments are a perennial issue throughout the county , the chief said . "
The police department,seek.01,the encampments,,Affirmative,"The police department does not actively seek out encampments , the chief added . "
the chief,add.01,department does not actively seek out encampments,,Affirmative,"The police department does not actively seek out encampments , the chief added . "
inhabitants,have.03,a lot of issues,,Affirmative,"For the most part , we do n't have a lot of issues with the encampments , he said , but that 's not to say they 're a safe living arrangement . "
the chief,say.01,", we do n't have",,Affirmative,"For the most part , we do n't have a lot of issues with the encampments , he said , but that 's not to say they 're a safe living arrangement . "
Anyone with,contact.01,Detective,,Affirmative,Anyone with any information about the case is asked to contact Detective My Nguyen at 540-2267 . 
