A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
SAP 's flagship in-memory database,offer.01,an in-memory OLTP option,,Affirmative,"That upgrade is not an in-memory database , as Hana is , but it does offer an in-memory OLTP option that let s users run specific indexes in memory to dramatically speed data - intensive applications . "
an in-memory OLTP option,let.01,users run,,Affirmative,"That upgrade is not an in-memory database , as Hana is , but it does offer an in-memory OLTP option that let s users run specific indexes in memory to dramatically speed data - intensive applications . "
users,run.01,specific indexes,,Affirmative,"That upgrade is not an in-memory database , as Hana is , but it does offer an in-memory OLTP option that let s users run specific indexes in memory to dramatically speed data - intensive applications . "
users,speed.01,intensive applications,,Affirmative,"That upgrade is not an in-memory database , as Hana is , but it does offer an in-memory OLTP option that let s users run specific indexes in memory to dramatically speed data - intensive applications . "
The SAP Gateway for Microsoft,extend.01,data access from,,Affirmative,"The SAP Gateway for Microsoft now extends data access from the Office suite , including Excel , into BusinessObjects Universe data models . "
In-memory performance,figure.03,in,,Affirmative,In-memory performance also figures in new ties between SAP BusinessObjects business intelligence software and Microsoft Office . 
Deeper integration through,let.01,users explore,,Affirmative,Deeper integration through the SAP Gateway for Microsoft specifically let s Microsoft Excel users explore a BusinessObjects Universe ( data model ) and select data objects to explore and report against . 
Excel users,explore.01,a BusinessObjects Universe,,Affirmative,Deeper integration through the SAP Gateway for Microsoft specifically let s Microsoft Excel users explore a BusinessObjects Universe ( data model ) and select data objects to explore and report against . 
Excel users,select.01,data objects,,Affirmative,Deeper integration through the SAP Gateway for Microsoft specifically let s Microsoft Excel users explore a BusinessObjects Universe ( data model ) and select data objects to explore and report against . 
data objects,report.01,against,,Affirmative,Deeper integration through the SAP Gateway for Microsoft specifically let s Microsoft Excel users explore a BusinessObjects Universe ( data model ) and select data objects to explore and report against . 
This,empower.01,the casual users,,Affirmative,"This will empower the casual users because they can get at the data on the fly , as opposed to using the multiple [ import ] steps that were previously required , said Ichhpurani . "
Kevin Ichhpurani,say.01,This will empower,,Affirmative,"This will empower the casual users because they can get at the data on the fly , as opposed to using the multiple [ import ] steps that were previously required , said Ichhpurani . "
Microsoft Power BI,let.01,users blend,,Affirmative,"Power BI also let s users blend data sets and tap into Microsoft reporting , analysis , and integration services that are part of the SQL Server platform . "
users,blend.01,data sets,,Affirmative,"Power BI also let s users blend data sets and tap into Microsoft reporting , analysis , and integration services that are part of the SQL Server platform . "
users,tap.03,into,,Affirmative,"Power BI also let s users blend data sets and tap into Microsoft reporting , analysis , and integration services that are part of the SQL Server platform . "
SAP,have.03,13 applications available,,Affirmative,"On the mobility front , SAP has 13 applications available that support Windows Mobile 8.1 and Windows Phone 8.1 , and it announced that the SAP Mobile Platform -- which includes SAP Unwired middleware , Afaria for security , and the Syclo mobile apps platform -- will support the same operating systems by June . "
13 applications available,support.01,Windows Mobile 8.1 and,,Affirmative,"On the mobility front , SAP has 13 applications available that support Windows Mobile 8.1 and Windows Phone 8.1 , and it announced that the SAP Mobile Platform -- which includes SAP Unwired middleware , Afaria for security , and the Syclo mobile apps platform -- will support the same operating systems by June . "
the mobility front,announce.01,will support,,Affirmative,"On the mobility front , SAP has 13 applications available that support Windows Mobile 8.1 and Windows Phone 8.1 , and it announced that the SAP Mobile Platform -- which includes SAP Unwired middleware , Afaria for security , and the Syclo mobile apps platform -- will support the same operating systems by June . "
the SAP Mobile Platform --,support.01,the same operating systems,,Affirmative,"On the mobility front , SAP has 13 applications available that support Windows Mobile 8.1 and Windows Phone 8.1 , and it announced that the SAP Mobile Platform -- which includes SAP Unwired middleware , Afaria for security , and the Syclo mobile apps platform -- will support the same operating systems by June . "
The development platform,let.01,s you build applications once and deploy to,,Affirmative,"The development platform let s you build applications once and deploy to any supported mobile device , and the list will now include a range of Windows and Windows Phone devices . "
you,build.01,13 applications available that support Windows Mobile 8.1 and Windows Phone 8.1,,Affirmative,"The development platform let s you build applications once and deploy to any supported mobile device , and the list will now include a range of Windows and Windows Phone devices . "
you,design.01,strategies for,,Affirmative,Join Enterprise Connect for an intensive day - long series of sessions in a free four - city road show focused on helping you design strategies for successful adoption and implementation of Microsoft 's Lync . 
we,help.01,you evaluate Lync as,,Affirmative,"During this free program , we will help you evaluate Lync as a voice solution , address the challenges of integrating Lync into your existing UC architecture , and analyze total cost of ownership . "
you,evaluate.01,Microsoft 's Lync,,Affirmative,"During this free program , we will help you evaluate Lync as a voice solution , address the challenges of integrating Lync into your existing UC architecture , and analyze total cost of ownership . "
you,address.02,the challenges of integrating Lync into,,Affirmative,"During this free program , we will help you evaluate Lync as a voice solution , address the challenges of integrating Lync into your existing UC architecture , and analyze total cost of ownership . "
you,analyze.01,total cost of ownership,,Affirmative,"During this free program , we will help you evaluate Lync as a voice solution , address the challenges of integrating Lync into your existing UC architecture , and analyze total cost of ownership . "
leading vendor companies,make.02,adoption possible,,Affirmative,"Join your peers and leading vendor companies making Lync adoption possible in San Francisco , Chicago , Boston , and New York . "
users,have.03,term license for,,Affirmative,"Enhterprise applications will become cloud applications when users pay for what they use , not what they have a long term license for . "
HANA,run.02,on,,Affirmative,HANA will not run on Azure ' cos HANA does not run on Windoze ; today it runs on ( a specifically kernel - modified version of ) Suse Linux only . 
HANA,run.02,on Windoze,,Affirmative,HANA will not run on Azure ' cos HANA does not run on Windoze ; today it runs on ( a specifically kernel - modified version of ) Suse Linux only . 
HANA will not run on Azure ` cos HANA,run.02,on (,,Affirmative,HANA will not run on Azure ' cos HANA does not run on Windoze ; today it runs on ( a specifically kernel - modified version of ) Suse Linux only . 
HANA,loose.01,much of,,Affirmative,Also in a cloud env HANA will loose much of its edge anyway and SQL Server 2014 might just be looking a little too good and mature in comparison . 
Microsoft SQL Server 2014,look.01,little too good and mature,,Affirmative,Also in a cloud env HANA will loose much of its edge anyway and SQL Server 2014 might just be looking a little too good and mature in comparison . 
SAP,avoid.01,a showdown around HANA,,Affirmative,So its prudent for SAP to avoid a showdown around HANA . 
this announcement,mean.01,SAP is nt going for,,Affirmative,To me this announcement means SAP is nt going for the kill with its own cloud platform . 
Microsoft and Oracle,highlight.01,customers taking advantage of,,Affirmative,It will be interesting to see Microsoft and Oracle highlighting SAP customers taking advantage of their in-memory capablities ( available in SQL Server 2014 and yet to be added to Oracle 12c ) . 
SAP customers,take.01,advantage,of,Affirmative,It will be interesting to see Microsoft and Oracle highlighting SAP customers taking advantage of their in-memory capablities ( available in SQL Server 2014 and yet to be added to Oracle 12c ) . 
You,need.01,a free account,,Affirmative,You will need a free account with each service to share an item via that service . 
You,share.01,an item,,Affirmative,You will need a free account with each service to share an item via that service . 
