A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Microsoft and SAP,announce.01,have been certified,,Affirmative,Microsoft and SAP announced Monday that a range of SAP applications have been certified to run in Microsoft 's Azure cloud . 
time partners,announce.01,new ties between,,Affirmative,The long - time partners also announced new ties between SAP BusinessObjects and Microsoft Office and expanded joint options for mobile support . 
time partners,expand.01,joint options for,,Affirmative,The long - time partners also announced new ties between SAP BusinessObjects and Microsoft Office and expanded joint options for mobile support . 
The long-time partners,use.01,Library tool,,Affirmative,The partners are promising elastic deployment using an SAP Cloud Appliance Library tool that can deploy a variety of virtual application configurations . 
Library tool,deploy.01,a variety of,,Affirmative,The partners are promising elastic deployment using an SAP Cloud Appliance Library tool that can deploy a variety of virtual application configurations . 
Customers,deploy.01,SAP Business Suite applications,into Azure,Affirmative,"Customers can deploy these applications into Azure knowing that the configurations are tested , certified , and supported by SAP , said Microsoft 's Takeshi Numoto , corporate VP of cloud , enterprise marketing , in a phone interview with InformationWeek . "
Customers,know.01,"configurations are tested , certified",,Affirmative,"Customers can deploy these applications into Azure knowing that the configurations are tested , certified , and supported by SAP , said Microsoft 's Takeshi Numoto , corporate VP of cloud , enterprise marketing , in a phone interview with InformationWeek . "
by SAP,support.01,Customers,,Affirmative,"Customers can deploy these applications into Azure knowing that the configurations are tested , certified , and supported by SAP , said Microsoft 's Takeshi Numoto , corporate VP of cloud , enterprise marketing , in a phone interview with InformationWeek . "
"Takeshi Numoto ,",say.01,Customers can deploy,,Affirmative,"Customers can deploy these applications into Azure knowing that the configurations are tested , certified , and supported by SAP , said Microsoft 's Takeshi Numoto , corporate VP of cloud , enterprise marketing , in a phone interview with InformationWeek . "
Customers,take.01,advantage,of,Affirmative,They can take advantage of the flexibility and agility that cloud computing provides where you can spool up and down resources as needed and only pay for what you use . 
cloud computing,provide.01,the flexibility and agility,,Affirmative,They can take advantage of the flexibility and agility that cloud computing provides where you can spool up and down resources as needed and only pay for what you use . 
Customers,rend.01,the computing capacity,,Affirmative,"That flexibility applies to the computing capacity that customers will rent on Azure , but the software licensing side of the proposition is not elastic . "
SAP customers,bring.01,existing software licenses,to Azure,Affirmative,"SAP customers can bring existing software licenses to Azure , but they must be licensed to support peak workloads and can not drop licenses when not in use . "
SAP customers,support.01,peak workloads,,Affirmative,"SAP customers can bring existing software licenses to Azure , but they must be licensed to support peak workloads and can not drop licenses when not in use . "
SAP customers,drop.05,existing software licenses to Azure,,Affirmative,"SAP customers can bring existing software licenses to Azure , but they must be licensed to support peak workloads and can not drop licenses when not in use . "
Kevin Ichhpurani,hint.01,will eventually support,,Affirmative,"He was hinting that Hana will eventually support production deployments on Azure , but he declined to provide any forecast on what month , quarter , or even year that might happen . "
that Hana,support.01,production deployments on Azure,,Affirmative,"He was hinting that Hana will eventually support production deployments on Azure , but he declined to provide any forecast on what month , quarter , or even year that might happen . "
Kevin Ichhpurani,decline.02,to provide,,Affirmative,"He was hinting that Hana will eventually support production deployments on Azure , but he declined to provide any forecast on what month , quarter , or even year that might happen . "
Kevin Ichhpurani,provide.01,any forecast,,Affirmative,"He was hinting that Hana will eventually support production deployments on Azure , but he declined to provide any forecast on what month , quarter , or even year that might happen . "
