A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
departments of,ask.02,for attestation,,Affirmative,"Under present scenario , the residents have to undergo tedious process as departments of the administration ask for attestation by officers or affidavits from general public at the time of applying for various government services . "
The new provision,empower.01,the residents,,Affirmative,"The new provision would empower the residents to self - certify their documents like identity proof , mark - sheet , birth certificate etc. To save the residents from harassment at the hands of the officials and also to save time , effort and money , the decision to start self certification was taken by UT adviser KK Sharma . "
the residents,certify.01,their documents like,,Affirmative,"The new provision would empower the residents to self - certify their documents like identity proof , mark - sheet , birth certificate etc. To save the residents from harassment at the hands of the officials and also to save time , effort and money , the decision to start self certification was taken by UT adviser KK Sharma . "
by,take.01,the decision,,Affirmative,"The new provision would empower the residents to self - certify their documents like identity proof , mark - sheet , birth certificate etc. To save the residents from harassment at the hands of the officials and also to save time , effort and money , the decision to start self certification was taken by UT adviser KK Sharma . "
by,set.03,Reforms Commission set up by,,Affirmative,The second Administrative Reforms Commission set up by the government of India has also recommended adoption of self - certification for simplifying procedures for the benefit of residents . 
Reforms Commission set up by,recommend.01,adoption of,for simplifying procedures for,Affirmative,The second Administrative Reforms Commission set up by the government of India has also recommended adoption of self - certification for simplifying procedures for the benefit of residents . 
The government of Punjab and Haryana,introduce.02,the same scheme for simplification of procedures,,Affirmative,The government of Punjab and Haryana has already introduced the same scheme for simplification of procedures . 
"Various departments ,",undertake.01,a comprehensive exercise,,Affirmative,"Various departments , especially estate office and education department were directed to undertake a comprehensive exercise to identify all the services under their control in which affidavits or signatures of gazetted officers are required . "
commissioner Mohammed Shayin,say.01,they could not notify,,Affirmative,UT deputy commissioner Mohammed Shayin said they could not notify the provision of self - certification due to elections . 
they,notify.01,the provision of,,Affirmative,UT deputy commissioner Mohammed Shayin said they could not notify the provision of self - certification due to elections . 
We,work.01,the modalities,,Affirmative,"We are working out the modalities and will soon notify the scheme , said Shayin . "
We,notify.01,the scheme,,Affirmative,"We are working out the modalities and will soon notify the scheme , said Shayin . "
Shayin,say.01,We are working out,,Affirmative,"We are working out the modalities and will soon notify the scheme , said Shayin . "
"( IIA ) Publication Board ,",say.01,residents were harassed by,,Affirmative,"Surinder Bahga , chairman , Indian Institute of Architects ( IIA ) Publication Board , said the residents were harassed by the UT officials , especially the estate office , and the provision of self - certification would put an end to the draconian inspector raj . "
by,harass.01,the residents,,Affirmative,"Surinder Bahga , chairman , Indian Institute of Architects ( IIA ) Publication Board , said the residents were harassed by the UT officials , especially the estate office , and the provision of self - certification would put an end to the draconian inspector raj . "
Bahga,add.01,administration should adopt,,Affirmative,Bahga added that the administration should adopt the people - friendly formant developed by the state governments of Punjab and Haryana while implementing the scheme . 
the administration,adopt.01,friendly formant developed by,,Affirmative,Bahga added that the administration should adopt the people - friendly formant developed by the state governments of Punjab and Haryana while implementing the scheme . 
by,develop.02,friendly formant developed by,,Affirmative,Bahga added that the administration should adopt the people - friendly formant developed by the state governments of Punjab and Haryana while implementing the scheme . 
chairman Baljinder Singh Bittu,say.01,administration had developed,,Affirmative,"Criticising the administration for delay in implementing the scheme , Federation of Sector Welfare Associations Chandigarh ( FOSWAC ) chairman Baljinder Singh Bittu said the administration had developed a habit of delaying implementation of schemes meant for people . "
the administration,develop.02,a habit of delaying implementation of schemes meant for people,,Affirmative,"Criticising the administration for delay in implementing the scheme , Federation of Sector Welfare Associations Chandigarh ( FOSWAC ) chairman Baljinder Singh Bittu said the administration had developed a habit of delaying implementation of schemes meant for people . "
Bittu,add.01,promote transparency and build confidence among,,Affirmative,Bittu added that the scheme would not only promote transparency and build confidence among the masses but also protect the residents from harassment . 
the same scheme,promote.02,transparency,,Affirmative,Bittu added that the scheme would not only promote transparency and build confidence among the masses but also protect the residents from harassment . 
the same scheme,build.01,confidence among,,Affirmative,Bittu added that the scheme would not only promote transparency and build confidence among the masses but also protect the residents from harassment . 
