A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
terrorist Abu Hamza al - Masri,find.02,guilty of conspiring,,Affirmative,"Infamous , hook - handed Al Qaeda terrorist Abu Hamza al - Masri found guilty of conspiring to build training camp in Oregon . "
Prosecutors at,say.01,Mustafa - assisted,,Affirmative,Prosecutors at the court in New York said Hamza - who was tried as Mustafa Kamel Mustafa - assisted the kidnappers of 16 tourists in Yemen in 1998 and attempted to build a terrorist training camp in Oregon . 
Abu Hamza 's,face.01,the possibility of,,Affirmative,"Hamza was convicted on eleven criminal counts , according to the Telegraph  - and now faces the possibility of being sent to the Supermax maximum - security prison in Colorado , famous for housing other terrorists . "
"The jury ,",give.01,the verdict,,Affirmative,"The jury , eight women and four men , gave the verdict just blocks away from the September 11 , 2001 attacks . "
Abu Hamza 's,gain.02,a measure of infamy,,Affirmative,"Abu Hamza has gained a measure of infamy in the US and UK over the past decade , making headlines since first being detained in 2004 . "
Abu Hamza 's,make.LV,headlines,,Affirmative,"Abu Hamza has gained a measure of infamy in the US and UK over the past decade , making headlines since first being detained in 2004 . "
French intelligence ,target.01,a potential hit,Abu Hamza  for,Affirmative,"Last year , it was revealed that French intelligence  had targeted Abu Hamza  for a potential hit , out of frustration with growing European indifference to Islamist terrorism . "
The French intelligence agency,plan.01,to take out,,Affirmative,"The French intelligence agency also apparently planned to take out other senior British Islamists , according to the report . "
The French intelligence agency,take.11,other senior British Islamists,,Affirmative,"The French intelligence agency also apparently planned to take out other senior British Islamists , according to the report . "
The jury,convict.01,Hamza of helping,,Affirmative,"On Monday , the jury convicted Hamza of helping to oversee a Yemeni hostage - taking crisis in 1998 that resulted in the deaths of three British tourists and an Australian . "
Hamza of,help.01,to oversee,,Affirmative,"On Monday , the jury convicted Hamza of helping to oversee a Yemeni hostage - taking crisis in 1998 that resulted in the deaths of three British tourists and an Australian . "
Hamza of,oversee.01,taking crisis in 1998,,Affirmative,"On Monday , the jury convicted Hamza of helping to oversee a Yemeni hostage - taking crisis in 1998 that resulted in the deaths of three British tourists and an Australian . "
The terrorist,deny.01,being involved in terrorism,,Affirmative,The terrorist has consistently denied being involved in terrorism and had pleaded not guilty to all charges . 
The terrorist,plead.02,not guilty to,,Affirmative,The terrorist has consistently denied being involved in terrorism and had pleaded not guilty to all charges . 
defense team,try.01,the dubious strategy of showing,,Affirmative,"Abu Hamza 's defense team tried the dubious strategy of showing the terrorist as a man of words , not deeds and as an independent thinker living on his own island . "
defense team,show.01,The terrorist,,Affirmative,"Abu Hamza 's defense team tried the dubious strategy of showing the terrorist as a man of words , not deeds and as an independent thinker living on his own island . "
