A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
the source,say.01,", is",,Affirmative,"Harsh Vardhan , who is considered to be close to prime ministerial nominee Narendra Modi as well as the Rashtriya Swayamsewak Sangh ( RSS ) , is the front runner for the job , the source said . "
"Harsh Vardhan ,",express.01,his ignorance about,,Affirmative,"However , Harsh Vardhan , who was also the party 's chief ministerial candidate ahead of the Delhi assembly elections in December last year , expressed his ignorance about the news . "
by,decide.01,the news,,Affirmative,"See , I am not aware of this news and even if it is going to happen , it will be decided by Modi - ji and the central party leadership , he said . "
"Harsh Vardhan , who is considered to be close to prime ministerial nominee Narendra Modi as well as the Rashtriya Swayamsewak Sangh -LRB- RSS -RRB-",say.01,"See , I am not aware of",,Affirmative,"See , I am not aware of this news and even if it is going to happen , it will be decided by Modi - ji and the central party leadership , he said . "
