A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
The Kenya government,offer.01,thousand scholarships to,,Affirmative,"The Kenya government will offer one thousand scholarships to South Sudanese students this year , an official has said . "
an official,say.01,government will offer,,Affirmative,"The Kenya government will offer one thousand scholarships to South Sudanese students this year , an official has said . "
students majoring in,major.01,in,,Affirmative,The scholarship will be for students majoring in science subjects . 
The Deputy Minister of Education,tell.01,scholarship will include students studying communication,Eye Radio,Affirmative,"The Deputy Minister of Education , Bol Makueng , told Eye Radio that the scholarship will include students studying communication . "
students studying communication,study.01,communication,,Affirmative,"The Deputy Minister of Education , Bol Makueng , told Eye Radio that the scholarship will include students studying communication . "
The Deputy Minister of Education,explain.01,scholarships will be in,,Affirmative,"Those scholarships will be in the areas of technology - especially Agronomists or Agricultural Engineering and architecture , he explained . "
people,know.01,technology,,Affirmative,"This is to help us have people who know technology to use our resources and implement what they learned and we have asked for 1,000 scholarships . "
people,use.01,our resources,,Affirmative,"This is to help us have people who know technology to use our resources and implement what they learned and we have asked for 1,000 scholarships . "
Agronomists,implement.01,what they learned and,,Affirmative,"This is to help us have people who know technology to use our resources and implement what they learned and we have asked for 1,000 scholarships . "
Agronomists,ask.02,for,,Affirmative,"This is to help us have people who know technology to use our resources and implement what they learned and we have asked for 1,000 scholarships . "
Mr Makueng,say.01,students will have,,Affirmative,Mr Makueng said 500 students will have full scholarship and the others will get ' partial scholarship ' . 
500 students,have.03,full scholarship,,Affirmative,Mr Makueng said 500 students will have full scholarship and the others will get ' partial scholarship ' . 
the others,get.01,partial scholarship,,Affirmative,Mr Makueng said 500 students will have full scholarship and the others will get ' partial scholarship ' . 
Agronomists,announce.01,"the scholarships on TV , Radios and Newspapers",,Affirmative,"We will announce the scholarships on TV , Radios and Newspapers for people to apply for it , he added . "
people who know technology to use our resources,apply.01,for it,,Affirmative,"We will announce the scholarships on TV , Radios and Newspapers for people to apply for it , he added . "
The Deputy Minister of Education,add.01,We will announce,,Affirmative,"We will announce the scholarships on TV , Radios and Newspapers for people to apply for it , he added . "
The Deputy Minister of Education,say.01,they have formed,,Affirmative,The deputy minister said they have formed a technical committee with the Kenyan government to come up with procedures for enrolling students for the scholarship program in Kenya by September . 
Agronomists,form.01,a technical committee with,,Affirmative,The deputy minister said they have formed a technical committee with the Kenyan government to come up with procedures for enrolling students for the scholarship program in Kenya by September . 
The Deputy Minister of Education,say.01,students will be admitted at,,Affirmative,"He said the students will be admitted at the Catholic University of Kenya , Kenyatta University , the African Institute for Science and Technology and the Kenyan college of Accounting . "
by,contact.01,you,,Affirmative,If you are happy to be contacted by an Eye Radio journalist please leave a telephone number that we can contact you on . 
we,contact.01,you,,Affirmative,If you are happy to be contacted by an Eye Radio journalist please leave a telephone number that we can contact you on . 
you,provide.01,your name,,Affirmative,"In some cases a selection of your comments will be published , displaying your name as you provide it and location , unless you state otherwise . "
