A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
9/11,attract.01,extremists,to,Affirmative,NEW YORK - An Egyptian Islamic preacher whose fiery sermons before and after 9/11 attracted extremists to his London mosque was convicted Monday in a trial that a prosecutor said should provide justice for the victims of a kidnapping in Yemen more than a decade ago . 
a prosecutor,say.01,should provide justice for,,Affirmative,NEW YORK - An Egyptian Islamic preacher whose fiery sermons before and after 9/11 attracted extremists to his London mosque was convicted Monday in a trial that a prosecutor said should provide justice for the victims of a kidnapping in Yemen more than a decade ago . 
you,need.01,to be,,Affirmative,"To continue reading this story , you will need to be a digital subscriber to HoustonChronicle.com . "
Chronicle subscribers,have.03,FREE access to,,Affirmative,Houston Chronicle subscribers have FREE access to all premium digital products . 
