A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
the Syrian Observatory for,say.01,people have been killed in Syria,,Affirmative,"BEIRUT -   More than 162,000 people have been killed in Syria since the conflict broke out in March 2011 , the Syrian Observatory for Human Rights said in a new toll published yesterday . "
"The Britain-based monitoring group ,",rely.01,on,,Affirmative,"The Britain-based monitoring group , which relies on a network of sources on the ground , said it had documented the deaths of 162,402 people . "
"The Britain-based monitoring group ,",say.01,it had documented,,Affirmative,"The Britain-based monitoring group , which relies on a network of sources on the ground , said it had documented the deaths of 162,402 people . "
The Britain-based monitoring group,document.01,the deaths of,,Affirmative,"The Britain-based monitoring group , which relies on a network of sources on the ground , said it had documented the deaths of 162,402 people . "
The Britain-based monitoring group,say.01,"had been killed , including",,Affirmative,"The group said 42,701 members of the armed opposition had been killed , including more than 13,500 fighters from insurgent groups . "
the Syrian Observatory for Human Rights,confirm.01,"2,891 unidentified people",,Affirmative,"The toll also includes 2,891 unidentified people whose deaths the Observatory has confirmed without being able to record their identities . "
"2,891 unidentified people",record.01,their identities,,Affirmative,"The toll also includes 2,891 unidentified people whose deaths the Observatory has confirmed without being able to record their identities . "
the authorities,respond.01,to,with force,Affirmative,"The conflict in Syria erupted in March 2011 , with peaceful anti-government protests that the authorities responded to with force . "
The conflict in Syria,displace.01,population,,Affirmative,It has also displaced nearly half the country 's population . 
