A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Saudi Arabia,close.01,its embassy and consulate in,,Affirmative,"Saudi Arabia closed its embassy and consulate in the Libyan capital and withdrew all of its diplomatic staff on Monday due to security concerns , the ambassador said . "
Saudi Arabia,withdraw.01,all of,,Affirmative,"Saudi Arabia closed its embassy and consulate in the Libyan capital and withdrew all of its diplomatic staff on Monday due to security concerns , the ambassador said . "
the ambassador,say.01,Arabia closed,,Affirmative,"Saudi Arabia closed its embassy and consulate in the Libyan capital and withdrew all of its diplomatic staff on Monday due to security concerns , the ambassador said . "
