A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
fuels ignorance of,ignore.01,role as,,Affirmative,The Boycott Brunei movement fuels ignorance of Islamic law and largely ignores the country 's role as a U.S. ally . 
the government of,pick.04,steam over,,Affirmative,"But that has changed in recent days , as a Hollywood boycott of hotels affiliated with the government of the tiny Southeast Asian nation has picked up steam over anti-gay laws . "
The boycott movement,garner.01,the support of,,Affirmative,"The boycott movement has garnered the support of the Los Angeles and Beverly Hills city councils , both of which have voted to condemn the country . "
both of which,vote.01,to condemn,,Affirmative,"The boycott movement has garnered the support of the Los Angeles and Beverly Hills city councils , both of which have voted to condemn the country . "
both of which,condemn.01,the country that includes death by stoning for a gay person convicted of homosexuality,,Affirmative,"The boycott movement has garnered the support of the Los Angeles and Beverly Hills city councils , both of which have voted to condemn the country . "
rights activists,put.01,the companies,in,Affirmative,"Agitation against Brunei - owned hotels began years before , when labor rights activists put the companies in their crosshairs over firing workers and hiring non-union employees . "
rights activists,hire.01,non-union employees,,Affirmative,"Agitation against Brunei - owned hotels began years before , when labor rights activists put the companies in their crosshairs over firing workers and hiring non-union employees . "
labor organizers,capitalize.02,on,,Affirmative,"Now , labor organizers have capitalized on Brunei 's anti-gay laws , and cleverly adapted into a human rights campaign with big - time celebrities . "
The Hollywood boycott movement,ignore.01,role as,,Affirmative,"Along the way , though , some damage has been wrought : The Hollywood boycott movement has fueled ignorance of what Islamic law is and largely ignored Brunei 's role as a U.S. ally . "
Some Americans,start.01,"paying attention ,",,Affirmative,"Some Americans did start paying attention , when talk show host Ellen DeGeneres tweeted that she would boycott the hotel because of the imposition of a harsh version of Islamic law in the Muslim - majority country . "
Some Americans,pay.01,"attention ,",,Affirmative,"Some Americans did start paying attention , when talk show host Ellen DeGeneres tweeted that she would boycott the hotel because of the imposition of a harsh version of Islamic law in the Muslim - majority country . "
talk show host Ellen DeGeneres,boycott.01,the hotel,,Affirmative,"Some Americans did start paying attention , when talk show host Ellen DeGeneres tweeted that she would boycott the hotel because of the imposition of a harsh version of Islamic law in the Muslim - majority country . "
the Sultan of Brunei,say.01,he would impose,,Affirmative,"The story began when the Sultan of Brunei , Hassanal Bolkiah , said recently he would impose an Islamic legal code on the country that includes death by stoning for a gay person convicted of homosexuality . "
"the Sultan of Brunei , Hassanal Bolkiah",impose.01,an Islamic legal code,on,Affirmative,"The story began when the Sultan of Brunei , Hassanal Bolkiah , said recently he would impose an Islamic legal code on the country that includes death by stoning for a gay person convicted of homosexuality . "
The mix of sharia law -,form.01,the perfect storm for,,Affirmative,"The mix of sharia law - which has also been inaccurately characterized in the press - and anti-gay punishments have formed the perfect storm for a U.S. boycott movement targeting Brunei , which is a close U.S. ally . "
"a U.S. boycott movement targeting Brunei ,",target.01,"Brunei ,",,Affirmative,"The mix of sharia law - which has also been inaccurately characterized in the press - and anti-gay punishments have formed the perfect storm for a U.S. boycott movement targeting Brunei , which is a close U.S. ally . "
by,push.01,friendly trade deal,,Affirmative," Brunei , which is oil - rich , is in negotiations to join the Trans Pacific Partnership , a corporate - friendly trade deal being pushed by the Obama administration . "
company,lay.01,workers,to,Affirmative,"For years , the Sultan 's company has been laying off workers at his California hotels to bust unions . "
the Sultan 's company,lay.01,workers at his California hotels,,Affirmative,The company laid off workers and hired non-union workers a few years later . 
the Sultan 's company,hire.01,firing workers and hiring non-union employees,,Affirmative,The company laid off workers and hired non-union workers a few years later . 
investment agency,do.02,the same exact thing,,Affirmative,"Brunei 's investment agency did the same exact thing in 2009 , though this time it was at the Hotel Bel - Air . "
The moves,capture.01,the attention of Unite,,Affirmative,"The moves captured the attention of Unite Here Local 11 , a California union that represents thousands of hospitality workers . "
a California union,represent.01,thousands of,,Affirmative,"The moves captured the attention of Unite Here Local 11 , a California union that represents thousands of hospitality workers . "
the calls for,spark.01,much attention,,Affirmative,"While the calls for labor rights did n't spark much attention , people began paying attention to the hotels when Unite Here reached out to Cleve Jones , a labor organizer and activists for LGBT rights . "
people,begin.01,paying attention to,,Affirmative,"While the calls for labor rights did n't spark much attention , people began paying attention to the hotels when Unite Here reached out to Cleve Jones , a labor organizer and activists for LGBT rights . "
people,pay.01,attention,to,Affirmative,"While the calls for labor rights did n't spark much attention , people began paying attention to the hotels when Unite Here reached out to Cleve Jones , a labor organizer and activists for LGBT rights . "
11,get.01,a Hollywood boycott of hotels affiliated with the government of the tiny Southeast Asian nation,,Affirmative,"Thanks to social media , the union got its boycott , even if it had to wrap itself in a different cause to get results , and Jones is OK with that , Al Jazeera America reported . "
11,wrap.01,11,in,Affirmative,"Thanks to social media , the union got its boycott , even if it had to wrap itself in a different cause to get results , and Jones is OK with that , Al Jazeera America reported . "
Al Jazeera America 's,report.01,union got,,Affirmative,"Thanks to social media , the union got its boycott , even if it had to wrap itself in a different cause to get results , and Jones is OK with that , Al Jazeera America reported . "
Islamophobic publications like,laud.01,a Hollywood boycott of hotels affiliated with the government of the tiny Southeast Asian nation,,Affirmative,"It 's not surprising that Islamophobic publications like FrontPage Magazine have lauded the Hollywood boycott , forging a de facto alliance with feminist and gay rights groups , which have blasted Brunei for imposing Taliban - like laws . "
Islamophobic publications like,forge.02,facto alliance with,,Affirmative,"It 's not surprising that Islamophobic publications like FrontPage Magazine have lauded the Hollywood boycott , forging a de facto alliance with feminist and gay rights groups , which have blasted Brunei for imposing Taliban - like laws . "
"rights groups ,",blast.05,"Brunei , which is a close U.S. ally",,Affirmative,"It 's not surprising that Islamophobic publications like FrontPage Magazine have lauded the Hollywood boycott , forging a de facto alliance with feminist and gay rights groups , which have blasted Brunei for imposing Taliban - like laws . "
you,believe.01,that everyone has,,Affirmative,Join the Human Rights Campaign if you believe that everyone has the right to marry the person they love . 
everyone,have.03,the right,,Affirmative,Join the Human Rights Campaign if you believe that everyone has the right to marry the person they love . 
feminist and gay rights groups,love.01,the person,,Affirmative,Join the Human Rights Campaign if you believe that everyone has the right to marry the person they love . 
