A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
by,fuel.01,rumour mills fuelled by,,Affirmative,"With rumour mills fuelled by real estate firms going hog over Acharya Nagarjuna University status in the coming days , academicians and non-teaching staff are rallying together in decrying these rumours . "
The ANU,house.01,Camp Office of,,Affirmative,"Over the last two days , reports that ANU could house Camp Office of new Chief Minister of Andhra Pradesh or even a secretariat have flooded news channels . "
even a secretariat,flood.01,news channels,,Affirmative,"Over the last two days , reports that ANU could house Camp Office of new Chief Minister of Andhra Pradesh or even a secretariat have flooded news channels . "
Vice-Chancellor K. Viyanna Rao,dismiss.01,these rumours,,Affirmative,"On Monday , Vice-Chancellor K. Viyanna Rao dismissed the rumours and categorically said that there was no proposal from any one to allot a block or a group of buildings for any administrative purpose . "
Vice-Chancellor K. Viyanna Rao,say.01,that there was,,Affirmative,"On Monday , Vice-Chancellor K. Viyanna Rao dismissed the rumours and categorically said that there was no proposal from any one to allot a block or a group of buildings for any administrative purpose . "
The ANU,look.03,to,,Affirmative,The ANU is looking forward to yet another academic year with classes starting from June . 
Acharya Nagarjuna University,look.04,to explore,,Affirmative,"With the addition of professional colleges in engineering and pharmacy , the university is looking to explore new possibilities in academics and research programmes . "
Acharya Nagarjuna University,explore.01,new possibilities in academics and,,Affirmative,"With the addition of professional colleges in engineering and pharmacy , the university is looking to explore new possibilities in academics and research programmes . "
The ANU,construct.01,new blocks,,Affirmative,"The ANU has made use of UGC grants and pooled in resources to construct new blocks for the benefit of students and research scholars and in the future , the ANU would continue to be a centre of excellence in academics . "
