A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
Defraud investors of,pocket.01,$ 100 million as,,Affirmative,"Defraud investors of more than $ 200 million , go to jail for a couple of years , then pocket $ 100 million as a reformed motivational speaker . "
"time stock broker ,",tell.01,that he 'll make,a conference in Dubai,Affirmative,"The one - time stock broker , whose exploits were chronicled in last year 's blockbuster starring Leonardo DiCaprio , told a conference in Dubai that he 'll make more money this year than he ever did pumping and dumping questionable securities in the 1990s . "
Leonardo DiCaprio,make.05,more money,,Affirmative,"The one - time stock broker , whose exploits were chronicled in last year 's blockbuster starring Leonardo DiCaprio , told a conference in Dubai that he 'll make more money this year than he ever did pumping and dumping questionable securities in the 1990s . "
Leonardo DiCaprio,dump.01,questionable securities,,Affirmative,"The one - time stock broker , whose exploits were chronicled in last year 's blockbuster starring Leonardo DiCaprio , told a conference in Dubai that he 'll make more money this year than he ever did pumping and dumping questionable securities in the 1990s . "
"Belfort ,",steal.01,more than $ 200 million,from investors,Affirmative,"Belfort , whose Long Island - based stock brokerage Stratton Oakmont stole more than $ 200 million from investors over seven years , is going on a 45 - city speaking tour in the U.S. , according to Bloomberg . "
"Belfort , whose Long Island-based stock brokerage Stratton Oakmont stole more than $ 200 million from investors over seven years",earn.01,royalties,,Affirmative,"He reportedly gets paid about $ 30,000 per speech , and he also earns royalties from his best - selling memoir and the Martin Scorsese - directed film from last year , which grossed nearly $ 400 million worldwide . "
directed film from,gross.01,nearly $ 400 million,,Affirmative,"He reportedly gets paid about $ 30,000 per speech , and he also earns royalties from his best - selling memoir and the Martin Scorsese - directed film from last year , which grossed nearly $ 400 million worldwide . "
"Belfort , whose Long Island-based stock brokerage Stratton Oakmont stole more than $ 200 million from investors over seven years",say.01,he will make north of,,Affirmative,Add it all up and Belfort says he will make north of $ 100 million in 2014 . 
the Wolf of Wall Street,keep.02,all the cash,,Affirmative,The Wolf will not get to keep all the cash . 
"Belfort , whose Long Island-based stock brokerage Stratton Oakmont stole more than $ 200 million from investors over seven years",use.01,50 percent of,to pay,Affirmative,"As part of his plea deal when he was arrested , Belfort must use 50 percent of his income each year to pay $ 110 million in restitution to victims of his brokerage . "
"Belfort , whose Long Island-based stock brokerage Stratton Oakmont stole more than $ 200 million from investors over seven years",pay.01,$ 110 million in restitution,to victims of,Affirmative,"As part of his plea deal when he was arrested , Belfort must use 50 percent of his income each year to pay $ 110 million in restitution to victims of his brokerage . "
"Belfort , whose Long Island-based stock brokerage Stratton Oakmont stole more than $ 200 million from investors over seven years",say.01,he is paying back everyone,,Affirmative,"Though Belfort says he is paying back everyone this year with his growing wealth , New York prosecutors say he has shirked his payments to the victims ' fund in the past . "
"Belfort , whose Long Island-based stock brokerage Stratton Oakmont stole more than $ 200 million from investors over seven years",pay.01,everyone,,Affirmative,"Though Belfort says he is paying back everyone this year with his growing wealth , New York prosecutors say he has shirked his payments to the victims ' fund in the past . "
York prosecutors,say.01,he has shirked,,Affirmative,"Though Belfort says he is paying back everyone this year with his growing wealth , New York prosecutors say he has shirked his payments to the victims ' fund in the past . "
"Belfort , whose Long Island-based stock brokerage Stratton Oakmont stole more than $ 200 million from investors over seven years",shirk.01,his payments,,Affirmative,"Though Belfort says he is paying back everyone this year with his growing wealth , New York prosecutors say he has shirked his payments to the victims ' fund in the past . "
