A0,A0.35_Verb,A1,A2,Polarity,RelatedSentence
A grand jury in,charge.01,five Chinese military officials of,,Affirmative,A grand jury in the United States has charged five Chinese military officials of cyber spying on nuclear plant design from American companies . 
A report from Reuters,say.01,move was,,Affirmative,A report from Reuters said that the move was the most difficult action that Washington has done since dealing with hacking after the said officials had spied on restricted information from the American companies . 
Washington,do.02,difficult action,,Affirmative,A report from Reuters said that the move was the most difficult action that Washington has done since dealing with hacking after the said officials had spied on restricted information from the American companies . 
Washington,deal.01,with hacking,,Affirmative,A report from Reuters said that the move was the most difficult action that Washington has done since dealing with hacking after the said officials had spied on restricted information from the American companies . 
the said officials,spy.01,on,,Affirmative,A report from Reuters said that the move was the most difficult action that Washington has done since dealing with hacking after the said officials had spied on restricted information from the American companies . 
China,deny.01,the allegations saying,,Affirmative,"Meanwhile , China denied the allegations saying that the story was only made up and would harm the trust between the two countries . "
the allegations saying,say.01,story was only made up and,,Affirmative,"Meanwhile , China denied the allegations saying that the story was only made up and would harm the trust between the two countries . "
years,say.01,that it would halt,,Affirmative,The foreign ministry of China also said that it would halt its Sino - US Internet activities . 
years,halt.01,US Internet activities,,Affirmative,The foreign ministry of China also said that it would halt its Sino - US Internet activities . 
The Washington authorities,argue.01,that it has been years,,Affirmative,The Washington authorities have argued that it has been years since cyber espionage became one of the United States ' top security concerns . 
by,file.01,The charges,,Affirmative,The charges were filed by the US against specific military officials of another country which marked the first time the government has accused persons of corporate cyber espionage . 
another country,mark.01,the first time,,Affirmative,The charges were filed by the US against specific military officials of another country which marked the first time the government has accused persons of corporate cyber espionage . 
the government,accuse.01,persons of,,Affirmative,The charges were filed by the US against specific military officials of another country which marked the first time the government has accused persons of corporate cyber espionage . 
General Eric Holder,state.01,that enough is enough in reference to,,Affirmative,US Attorney General Eric Holder stated that enough is enough in reference to when another country utilizes military or intelligence tools and resources against a US firm or its executives to get trade secrets for the benefit of state - backed firms . 
the US President,limit.01,the surveillance programs of,,Affirmative,replied to the announcement asking the US President to limit the surveillance programs of the government . 
the prosecutors of,say.01,officials have targeted companies in areas including Pennsylvania and Pittsburgh,,Affirmative,"On the other hand , the prosecutors of the case said that the officials have targeted companies in areas including Pennsylvania and Pittsburgh . "
the officials,target.01,companies in areas including Pennsylvania and Pittsburgh,,Affirmative,"On the other hand , the prosecutors of the case said that the officials have targeted companies in areas including Pennsylvania and Pittsburgh . "
The federal prosecutors,add.01,suspects eyed,,Affirmative,"The federal prosecutors also added that the suspects eyed the metal , solar energy and nuclear power sectors . "
the suspects,eye.01,"the metal ,",,Affirmative,"The federal prosecutors also added that the suspects eyed the metal , solar energy and nuclear power sectors . "
